Probability of fire spreading, Average percent burned, number of iterations
0.000000 , 0.000000 , 0.001600
0.010000 , 0.000032 , 0.001600
0.020000 , 0.000044 , 0.001600
0.030000 , 0.000075 , 0.001600
0.040000 , 0.000134 , 0.001600
0.050000 , 0.000153 , 0.001600
0.060000 , 0.000184 , 0.001600
0.070000 , 0.000208 , 0.001600
0.080000 , 0.000278 , 0.001600
0.090000 , 0.000313 , 0.002400
0.100000 , 0.000357 , 0.001600
0.110000 , 0.000415 , 0.001600
0.120000 , 0.000461 , 0.002400
0.130000 , 0.000545 , 0.001600
0.140000 , 0.000596 , 0.001600
0.150000 , 0.000650 , 0.001600
0.160000 , 0.000750 , 0.002400
0.170000 , 0.000853 , 0.002400
0.180000 , 0.000961 , 0.001600
0.190000 , 0.001088 , 0.003200
0.200000 , 0.001181 , 0.002400
0.210000 , 0.001239 , 0.002400
0.220000 , 0.001423 , 0.001600
0.230000 , 0.001533 , 0.001600
0.240000 , 0.001676 , 0.003200
0.250000 , 0.001883 , 0.005600
0.260000 , 0.002373 , 0.004000
0.270000 , 0.002449 , 0.004800
0.280000 , 0.002762 , 0.002400
0.290000 , 0.003212 , 0.004000
0.300000 , 0.003674 , 0.006400
0.310000 , 0.004117 , 0.003200
0.320000 , 0.004766 , 0.005600
0.330000 , 0.005060 , 0.005600
0.340000 , 0.006155 , 0.006400
0.350000 , 0.007956 , 0.013600
0.360000 , 0.008357 , 0.001600
0.370000 , 0.009974 , 0.012000
0.380000 , 0.013358 , 0.004800
0.390000 , 0.014879 , 0.009600
0.400000 , 0.020985 , 0.016000
0.410000 , 0.024075 , 0.012000
0.420000 , 0.031315 , 0.008000
0.430000 , 0.042951 , 0.017600
0.440000 , 0.057696 , 0.016000
0.450000 , 0.070388 , 0.016000
0.460000 , 0.099400 , 0.060000
0.470000 , 0.138877 , 0.007200
0.480000 , 0.189278 , 0.010400
0.490000 , 0.259865 , 0.001600
0.500000 , 0.323629 , 0.002400
0.510000 , 0.388992 , 0.016000
0.520000 , 0.490790 , 0.060800
0.530000 , 0.582177 , 0.082400
0.540000 , 0.641635 , 0.049600
0.550000 , 0.699967 , 0.052800
0.560000 , 0.754999 , 0.050400
0.570000 , 0.794015 , 0.002400
0.580000 , 0.831799 , 0.056800
0.590000 , 0.850359 , 0.043200
0.600000 , 0.872702 , 0.039200
0.610000 , 0.890751 , 0.044000
0.620000 , 0.906750 , 0.044000
0.630000 , 0.924279 , 0.039200
0.640000 , 0.933232 , 0.040800
0.650000 , 0.942700 , 0.039200
0.660000 , 0.948110 , 0.035200
0.670000 , 0.949606 , 0.034400
0.680000 , 0.958717 , 0.036000
0.690000 , 0.961201 , 0.034400
0.700000 , 0.974168 , 0.034400
0.710000 , 0.975582 , 0.037600
0.720000 , 0.978603 , 0.034400
0.730000 , 0.983477 , 0.034400
0.740000 , 0.988398 , 0.033600
0.750000 , 0.989090 , 0.036000
0.760000 , 0.991850 , 0.033600
0.770000 , 0.991279 , 0.032800
0.780000 , 0.993750 , 0.034400
0.790000 , 0.990642 , 0.034400
0.800000 , 0.995306 , 0.034400
0.810000 , 0.994991 , 0.033600
0.820000 , 0.997947 , 0.033600
0.830000 , 0.997530 , 0.033600
0.840000 , 0.997890 , 0.034400
0.850000 , 0.998113 , 0.033600
0.860000 , 0.999194 , 0.033600
0.870000 , 0.999383 , 0.033600
0.880000 , 0.999553 , 0.033600
0.890000 , 0.999685 , 0.033600
0.900000 , 0.999747 , 0.033600
0.910000 , 0.999825 , 0.034400
0.920000 , 0.999886 , 0.033600
0.930000 , 0.999923 , 0.033600
0.940000 , 0.999951 , 0.033600
0.950000 , 0.999971 , 0.033600
0.960000 , 0.999988 , 0.033600
0.970000 , 0.999994 , 0.033600
0.980000 , 0.999998 , 0.033600
0.990000 , 0.999999 , 0.033600
1.000000 , 1.000000 , 0.033600
Time: 40.179375 seconds
