Probability of fire spreading, Average percent burned, number of iterations
0.000000 , 0.000000 , 0.025600
0.010000 , 0.000014 , 0.025600
0.020000 , 0.000076 , 0.028800
0.030000 , 0.000070 , 0.028800
0.040000 , 0.000136 , 0.025600
0.050000 , 0.000116 , 0.032000
0.060000 , 0.000160 , 0.035200
0.070000 , 0.000252 , 0.032000
0.080000 , 0.000232 , 0.025600
0.090000 , 0.000356 , 0.028800
0.100000 , 0.000314 , 0.038400
0.110000 , 0.000356 , 0.038400
0.120000 , 0.000470 , 0.028800
0.130000 , 0.000468 , 0.025600
0.140000 , 0.000492 , 0.035200
0.150000 , 0.000716 , 0.025600
0.160000 , 0.000813 , 0.032000
0.170000 , 0.000833 , 0.067200
0.180000 , 0.000913 , 0.051200
0.190000 , 0.000993 , 0.038400
0.200000 , 0.001125 , 0.051200
0.210000 , 0.001391 , 0.051200
0.220000 , 0.001275 , 0.035200
0.230000 , 0.001485 , 0.070400
0.240000 , 0.001919 , 0.035200
0.250000 , 0.001991 , 0.028800
0.260000 , 0.002404 , 0.028800
0.270000 , 0.002820 , 0.073600
0.280000 , 0.003008 , 0.073600
0.290000 , 0.002728 , 0.048000
0.300000 , 0.003906 , 0.041600
0.310000 , 0.004009 , 0.044800
0.320000 , 0.004879 , 0.048000
0.330000 , 0.005411 , 0.112000
0.340000 , 0.006366 , 0.067200
0.350000 , 0.006658 , 0.054400
0.360000 , 0.008557 , 0.057600
0.370000 , 0.010394 , 0.163200
0.380000 , 0.014007 , 0.054400
0.390000 , 0.016050 , 0.115200
0.400000 , 0.019824 , 0.211200
0.410000 , 0.021994 , 0.124800
0.420000 , 0.031252 , 0.275200
0.430000 , 0.037610 , 0.281600
0.440000 , 0.051660 , 0.220800
0.450000 , 0.072824 , 0.339200
0.460000 , 0.089898 , 0.553600
0.470000 , 0.132613 , 0.556800
0.480000 , 0.204210 , 0.585600
0.490000 , 0.222277 , 0.278400
0.500000 , 0.334523 , 0.841600
0.510000 , 0.413284 , 1.171200
0.520000 , 0.476108 , 0.867200
0.530000 , 0.556396 , 0.272000
0.540000 , 0.642484 , 0.886400
0.550000 , 0.683591 , 0.822400
0.560000 , 0.780768 , 0.723200
0.570000 , 0.791975 , 0.841600
0.580000 , 0.809780 , 0.790400
0.590000 , 0.872729 , 0.691200
0.600000 , 0.861276 , 0.758400
0.610000 , 0.883822 , 0.905600
0.620000 , 0.908764 , 0.688000
0.630000 , 0.917517 , 0.601600
0.640000 , 0.931296 , 0.636800
0.650000 , 0.936866 , 0.614400
0.660000 , 0.948663 , 0.579200
0.670000 , 0.961653 , 0.636800
0.680000 , 0.942965 , 0.569600
0.690000 , 0.956460 , 0.560000
0.700000 , 0.971849 , 0.550400
0.710000 , 0.977181 , 0.553600
0.720000 , 0.976648 , 0.547200
0.730000 , 0.978522 , 0.563200
0.740000 , 0.986340 , 0.550400
0.750000 , 0.990773 , 0.540800
0.760000 , 0.985312 , 0.544000
0.770000 , 0.980377 , 0.288000
0.780000 , 0.990669 , 0.537600
0.790000 , 0.994764 , 0.540800
0.800000 , 0.995310 , 0.540800
0.810000 , 0.995862 , 0.547200
0.820000 , 0.996293 , 0.556800
0.830000 , 0.996661 , 0.550400
0.840000 , 0.996987 , 0.540800
0.850000 , 0.997473 , 0.531200
0.860000 , 0.997612 , 0.544000
0.870000 , 0.997772 , 0.544000
0.880000 , 0.997944 , 0.537600
0.890000 , 0.998070 , 0.537600
0.900000 , 0.998130 , 0.534400
0.910000 , 0.998250 , 0.544000
0.920000 , 0.998284 , 0.537600
0.930000 , 0.998344 , 0.537600
0.940000 , 0.998340 , 0.537600
0.950000 , 0.998386 , 0.537600
0.960000 , 0.998392 , 0.537600
0.970000 , 0.998396 , 0.537600
0.980000 , 0.998394 , 0.537600
0.990000 , 0.998400 , 0.537600
1.000000 , 0.998400 , 0.537600
Time: 2.624782 seconds
