Probability of fire spreading, Average percent burned, number of iterations
0.000000 , 0.000000 , 0.051200
0.010000 , 0.000036 , 0.051200
0.020000 , 0.000067 , 0.057600
0.030000 , 0.000085 , 0.057600
0.040000 , 0.000141 , 0.051200
0.050000 , 0.000130 , 0.054800
0.060000 , 0.000195 , 0.054800
0.070000 , 0.000251 , 0.063600
0.080000 , 0.000274 , 0.057200
0.090000 , 0.000321 , 0.060400
0.100000 , 0.000433 , 0.058400
0.110000 , 0.000362 , 0.066800
0.120000 , 0.000427 , 0.067600
0.130000 , 0.000482 , 0.057200
0.140000 , 0.000571 , 0.082400
0.150000 , 0.000648 , 0.066800
0.160000 , 0.000750 , 0.073200
0.170000 , 0.000898 , 0.068000
0.180000 , 0.001069 , 0.076800
0.190000 , 0.001278 , 0.084000
0.200000 , 0.001165 , 0.083600
0.210000 , 0.001344 , 0.106800
0.220000 , 0.001538 , 0.096400
0.230000 , 0.001626 , 0.070400
0.240000 , 0.001679 , 0.114800
0.250000 , 0.002226 , 0.092000
0.260000 , 0.002066 , 0.127200
0.270000 , 0.002438 , 0.121200
0.280000 , 0.002845 , 0.114400
0.290000 , 0.002995 , 0.074000
0.300000 , 0.003723 , 0.150400
0.310000 , 0.004855 , 0.156000
0.320000 , 0.004896 , 0.093200
0.330000 , 0.005751 , 0.192800
0.340000 , 0.006494 , 0.158800
0.350000 , 0.007562 , 0.101600
0.360000 , 0.008231 , 0.081600
0.370000 , 0.009536 , 0.115600
0.380000 , 0.013968 , 0.252000
0.390000 , 0.016473 , 0.185200
0.400000 , 0.022971 , 0.456400
0.410000 , 0.029130 , 0.236000
0.420000 , 0.032981 , 0.493600
0.430000 , 0.036867 , 0.480000
0.440000 , 0.062530 , 0.842400
0.450000 , 0.076335 , 0.566400
0.460000 , 0.116492 , 0.740800
0.470000 , 0.127321 , 0.799200
0.480000 , 0.192869 , 1.488000
0.490000 , 0.267850 , 0.905600
0.500000 , 0.325502 , 1.021600
0.510000 , 0.390535 , 1.544000
0.520000 , 0.496614 , 2.204800
0.530000 , 0.576510 , 1.409600
0.540000 , 0.674227 , 1.388000
0.550000 , 0.706014 , 1.441200
0.560000 , 0.753297 , 1.444800
0.570000 , 0.769221 , 1.665200
0.580000 , 0.841891 , 1.456000
0.590000 , 0.848038 , 1.184800
0.600000 , 0.874947 , 1.178400
0.610000 , 0.879989 , 1.318000
0.620000 , 0.913803 , 1.150800
0.630000 , 0.917545 , 1.193200
0.640000 , 0.928849 , 1.253200
0.650000 , 0.946721 , 1.258000
0.660000 , 0.950458 , 1.202400
0.670000 , 0.952196 , 1.126800
0.680000 , 0.959835 , 1.148000
0.690000 , 0.968918 , 1.156800
0.700000 , 0.975121 , 1.186800
0.710000 , 0.974682 , 1.149600
0.720000 , 0.975953 , 1.130400
0.730000 , 0.981526 , 1.100800
0.740000 , 0.982893 , 1.107600
0.750000 , 0.984278 , 1.090800
0.760000 , 0.992230 , 1.105200
0.770000 , 0.993225 , 1.085600
0.780000 , 0.993917 , 1.090800
0.790000 , 0.994479 , 1.085600
0.800000 , 0.992082 , 1.085200
0.810000 , 0.995883 , 1.094400
0.820000 , 0.993287 , 1.078000
0.830000 , 0.993535 , 1.084800
0.840000 , 0.997188 , 1.078400
0.850000 , 0.997362 , 1.078400
0.860000 , 0.997611 , 1.075600
0.870000 , 0.997796 , 1.075200
0.880000 , 0.998034 , 1.084800
0.890000 , 0.998099 , 1.079200
0.900000 , 0.994975 , 1.075200
0.910000 , 0.998247 , 1.078400
0.920000 , 0.998267 , 1.075200
0.930000 , 0.998274 , 1.078400
0.940000 , 0.998353 , 1.075200
0.950000 , 0.998372 , 1.075200
0.960000 , 0.998388 , 1.075200
0.970000 , 0.998390 , 1.075200
0.980000 , 0.998398 , 1.075200
0.990000 , 0.998400 , 1.075200
1.000000 , 0.998400 , 1.075200
Time: 1.353111 seconds
