Probability of fire spreading, Average percent burned, number of iterations
0.000000 , 0.000000 , 0.102400
0.010000 , 0.000025 , 0.102400
0.020000 , 0.000053 , 0.102400
0.030000 , 0.000047 , 0.103800
0.040000 , 0.000094 , 0.105600
0.050000 , 0.000140 , 0.108800
0.060000 , 0.000150 , 0.117600
0.070000 , 0.000216 , 0.108800
0.080000 , 0.000246 , 0.116600
0.090000 , 0.000338 , 0.115200
0.100000 , 0.000320 , 0.135800
0.110000 , 0.000352 , 0.147400
0.120000 , 0.000417 , 0.138000
0.130000 , 0.000549 , 0.123400
0.140000 , 0.000564 , 0.135000
0.150000 , 0.000620 , 0.144200
0.160000 , 0.000636 , 0.127200
0.170000 , 0.000799 , 0.147000
0.180000 , 0.000976 , 0.155400
0.190000 , 0.001084 , 0.155200
0.200000 , 0.001092 , 0.138200
0.210000 , 0.001423 , 0.155600
0.220000 , 0.001601 , 0.152800
0.230000 , 0.001633 , 0.208800
0.240000 , 0.001725 , 0.156800
0.250000 , 0.001930 , 0.271200
0.260000 , 0.002369 , 0.239000
0.270000 , 0.002388 , 0.256000
0.280000 , 0.002554 , 0.181200
0.290000 , 0.003145 , 0.344000
0.300000 , 0.003393 , 0.373600
0.310000 , 0.003543 , 0.276400
0.320000 , 0.004695 , 0.340400
0.330000 , 0.005133 , 0.284200
0.340000 , 0.007093 , 0.459800
0.350000 , 0.006903 , 0.269800
0.360000 , 0.009728 , 0.480400
0.370000 , 0.009076 , 0.323800
0.380000 , 0.013096 , 0.497800
0.390000 , 0.017350 , 0.405600
0.400000 , 0.018643 , 0.627200
0.410000 , 0.022482 , 0.841400
0.420000 , 0.028902 , 1.131000
0.430000 , 0.040870 , 1.005000
0.440000 , 0.059175 , 1.111600
0.450000 , 0.068684 , 1.319200
0.460000 , 0.102516 , 1.812000
0.470000 , 0.154475 , 1.421000
0.480000 , 0.184196 , 2.329200
0.490000 , 0.230834 , 2.298400
0.500000 , 0.316653 , 2.441200
0.510000 , 0.391407 , 2.866400
0.520000 , 0.484904 , 3.264600
0.530000 , 0.571818 , 3.249000
0.540000 , 0.616673 , 3.711400
0.550000 , 0.665002 , 3.474000
0.560000 , 0.712244 , 3.809000
0.570000 , 0.792772 , 2.838200
0.580000 , 0.820150 , 3.505400
0.590000 , 0.837872 , 2.993200
0.600000 , 0.842035 , 2.686800
0.610000 , 0.860041 , 2.644400
0.620000 , 0.877403 , 2.358000
0.630000 , 0.895268 , 2.389600
0.640000 , 0.906465 , 2.296800
0.650000 , 0.904497 , 1.986200
0.660000 , 0.925660 , 2.360200
0.670000 , 0.935817 , 2.328800
0.680000 , 0.932964 , 2.311200
0.690000 , 0.945175 , 2.365600
0.700000 , 0.946507 , 2.351200
0.710000 , 0.950326 , 2.275200
0.720000 , 0.949558 , 2.242600
0.730000 , 0.952760 , 2.235200
0.740000 , 0.964102 , 2.220400
0.750000 , 0.962410 , 2.214800
0.760000 , 0.966355 , 2.187400
0.770000 , 0.961286 , 2.185000
0.780000 , 0.961918 , 2.178600
0.790000 , 0.963858 , 2.184400
0.800000 , 0.967474 , 2.173200
0.810000 , 0.970381 , 2.174600
0.820000 , 0.967837 , 2.165000
0.830000 , 0.967825 , 2.154400
0.840000 , 0.968312 , 2.171000
0.850000 , 0.971556 , 2.160400
0.860000 , 0.971991 , 2.157800
0.870000 , 0.972018 , 2.164600
0.880000 , 0.972371 , 2.156800
0.890000 , 0.969271 , 2.153600
0.900000 , 0.972557 , 2.163200
0.910000 , 0.972642 , 2.150400
0.920000 , 0.972674 , 2.150400
0.930000 , 0.972692 , 2.153600
0.940000 , 0.972749 , 2.154600
0.950000 , 0.972772 , 2.150400
0.960000 , 0.972783 , 2.150600
0.970000 , 0.972792 , 2.150400
0.980000 , 0.972798 , 2.150400
0.990000 , 0.972800 , 2.150400
1.000000 , 0.972800 , 2.150400
Time: 0.695618 seconds
