Probability of fire spreading, Average percent burned, number of iterations
0.000000 , 0.000000 , 0.000800
0.010000 , 0.000024 , 0.000800
0.020000 , 0.000048 , 0.000800
0.030000 , 0.000083 , 0.000800
0.040000 , 0.000107 , 0.000800
0.050000 , 0.000163 , 0.001200
0.060000 , 0.000177 , 0.001200
0.070000 , 0.000223 , 0.000800
0.080000 , 0.000267 , 0.000800
0.090000 , 0.000304 , 0.000800
0.100000 , 0.000337 , 0.001200
0.110000 , 0.000414 , 0.000800
0.120000 , 0.000481 , 0.000800
0.130000 , 0.000514 , 0.000800
0.140000 , 0.000597 , 0.000800
0.150000 , 0.000651 , 0.000800
0.160000 , 0.000732 , 0.000800
0.170000 , 0.000796 , 0.000800
0.180000 , 0.000957 , 0.000800
0.190000 , 0.001072 , 0.001600
0.200000 , 0.001201 , 0.001200
0.210000 , 0.001342 , 0.001600
0.220000 , 0.001411 , 0.002400
0.230000 , 0.001641 , 0.001200
0.240000 , 0.001746 , 0.002400
0.250000 , 0.001977 , 0.000800
0.260000 , 0.002257 , 0.005600
0.270000 , 0.002554 , 0.002000
0.280000 , 0.002937 , 0.001600
0.290000 , 0.003096 , 0.002400
0.300000 , 0.003762 , 0.000800
0.310000 , 0.004179 , 0.001600
0.320000 , 0.004706 , 0.001200
0.330000 , 0.005327 , 0.000800
0.340000 , 0.006152 , 0.003600
0.350000 , 0.007372 , 0.001600
0.360000 , 0.008776 , 0.006400
0.370000 , 0.010414 , 0.004000
0.380000 , 0.012272 , 0.000800
0.390000 , 0.016227 , 0.004400
0.400000 , 0.019608 , 0.002000
0.410000 , 0.025741 , 0.010400
0.420000 , 0.031667 , 0.000800
0.430000 , 0.040776 , 0.001200
0.440000 , 0.058592 , 0.002400
0.450000 , 0.075623 , 0.020000
0.460000 , 0.106004 , 0.000800
0.470000 , 0.138650 , 0.017600
0.480000 , 0.187254 , 0.025200
0.490000 , 0.244004 , 0.028400
0.500000 , 0.323062 , 0.027600
0.510000 , 0.400805 , 0.020800
0.520000 , 0.493360 , 0.018000
0.530000 , 0.574293 , 0.022400
0.540000 , 0.644394 , 0.042000
0.550000 , 0.703924 , 0.021200
0.560000 , 0.757202 , 0.005600
0.570000 , 0.790691 , 0.023200
0.580000 , 0.825362 , 0.027600
0.590000 , 0.860884 , 0.026400
0.600000 , 0.877665 , 0.025600
0.610000 , 0.894834 , 0.018400
0.620000 , 0.900379 , 0.001200
0.630000 , 0.918531 , 0.018400
0.640000 , 0.928111 , 0.018400
0.650000 , 0.936040 , 0.018400
0.660000 , 0.947748 , 0.019200
0.670000 , 0.950595 , 0.017200
0.680000 , 0.963201 , 0.016800
0.690000 , 0.962882 , 0.016800
0.700000 , 0.974121 , 0.017200
0.710000 , 0.976110 , 0.016800
0.720000 , 0.979851 , 0.016800
0.730000 , 0.982521 , 0.016800
0.740000 , 0.983386 , 0.016800
0.750000 , 0.986601 , 0.016400
0.760000 , 0.987896 , 0.017600
0.770000 , 0.990955 , 0.017600
0.780000 , 0.992606 , 0.017200
0.790000 , 0.993028 , 0.018000
0.800000 , 0.996809 , 0.016800
0.810000 , 0.997069 , 0.016400
0.820000 , 0.996311 , 0.016800
0.830000 , 0.997117 , 0.016800
0.840000 , 0.997847 , 0.017200
0.850000 , 0.998541 , 0.016800
0.860000 , 0.999179 , 0.016800
0.870000 , 0.997389 , 0.016800
0.880000 , 0.999536 , 0.016800
0.890000 , 0.999671 , 0.016800
0.900000 , 0.999755 , 0.016800
0.910000 , 0.999824 , 0.017200
0.920000 , 0.999881 , 0.016800
0.930000 , 0.999926 , 0.016800
0.940000 , 0.999955 , 0.016800
0.950000 , 0.999972 , 0.016800
0.960000 , 0.999986 , 0.016800
0.970000 , 0.999995 , 0.016800
0.980000 , 0.999997 , 0.016800
0.990000 , 0.999999 , 0.016800
1.000000 , 1.000000 , 0.016800
Time: 80.407971 seconds
