Probability of fire spreading, Average percent burned, number of iterations
0.000000 , 0.000000 , 0.012800
0.010000 , 0.000030 , 0.012800
0.020000 , 0.000056 , 0.012800
0.030000 , 0.000084 , 0.012800
0.040000 , 0.000106 , 0.012800
0.050000 , 0.000162 , 0.012800
0.060000 , 0.000214 , 0.019200
0.070000 , 0.000188 , 0.012800
0.080000 , 0.000272 , 0.016000
0.090000 , 0.000286 , 0.012800
0.100000 , 0.000348 , 0.028800
0.110000 , 0.000346 , 0.016000
0.120000 , 0.000534 , 0.022400
0.130000 , 0.000530 , 0.025600
0.140000 , 0.000614 , 0.012800
0.150000 , 0.000688 , 0.028800
0.160000 , 0.000742 , 0.019200
0.170000 , 0.000825 , 0.012800
0.180000 , 0.001157 , 0.012800
0.190000 , 0.000897 , 0.019200
0.200000 , 0.001073 , 0.019200
0.210000 , 0.001209 , 0.025600
0.220000 , 0.001423 , 0.012800
0.230000 , 0.001471 , 0.016000
0.240000 , 0.001739 , 0.041600
0.250000 , 0.002161 , 0.016000
0.260000 , 0.002175 , 0.016000
0.270000 , 0.002329 , 0.019200
0.280000 , 0.002944 , 0.019200
0.290000 , 0.003294 , 0.051200
0.300000 , 0.003872 , 0.022400
0.310000 , 0.004321 , 0.019200
0.320000 , 0.005015 , 0.089600
0.330000 , 0.006268 , 0.012800
0.340000 , 0.007375 , 0.057600
0.350000 , 0.006810 , 0.041600
0.360000 , 0.007997 , 0.076800
0.370000 , 0.010000 , 0.044800
0.380000 , 0.012376 , 0.076800
0.390000 , 0.016985 , 0.016000
0.400000 , 0.020223 , 0.118400
0.410000 , 0.027085 , 0.070400
0.420000 , 0.036127 , 0.144000
0.430000 , 0.039164 , 0.163200
0.440000 , 0.050157 , 0.134400
0.450000 , 0.070526 , 0.150400
0.460000 , 0.113623 , 0.224000
0.470000 , 0.162175 , 0.352000
0.480000 , 0.188422 , 0.051200
0.490000 , 0.255772 , 0.240000
0.500000 , 0.315969 , 0.483200
0.510000 , 0.393872 , 0.403200
0.520000 , 0.496845 , 0.502400
0.530000 , 0.548557 , 0.524800
0.540000 , 0.658335 , 0.556800
0.550000 , 0.710548 , 0.339200
0.560000 , 0.775221 , 0.416000
0.570000 , 0.806358 , 0.489600
0.580000 , 0.831059 , 0.406400
0.590000 , 0.859649 , 0.396800
0.600000 , 0.872259 , 0.380800
0.610000 , 0.901599 , 0.368000
0.620000 , 0.887227 , 0.313600
0.630000 , 0.919008 , 0.332800
0.640000 , 0.930680 , 0.368000
0.650000 , 0.936553 , 0.313600
0.660000 , 0.936127 , 0.300800
0.670000 , 0.953348 , 0.304000
0.680000 , 0.962395 , 0.294400
0.690000 , 0.962966 , 0.278400
0.700000 , 0.968217 , 0.278400
0.710000 , 0.970675 , 0.272000
0.720000 , 0.979336 , 0.281600
0.730000 , 0.974795 , 0.281600
0.740000 , 0.989032 , 0.268800
0.750000 , 0.987569 , 0.278400
0.760000 , 0.988816 , 0.275200
0.770000 , 0.986699 , 0.297600
0.780000 , 0.990599 , 0.278400
0.790000 , 0.994682 , 0.272000
0.800000 , 0.995278 , 0.268800
0.810000 , 0.992688 , 0.268800
0.820000 , 0.990021 , 0.272000
0.830000 , 0.996751 , 0.272000
0.840000 , 0.997101 , 0.268800
0.850000 , 0.997385 , 0.275200
0.860000 , 0.997583 , 0.268800
0.870000 , 0.997826 , 0.265600
0.880000 , 0.997938 , 0.268800
0.890000 , 0.998092 , 0.265600
0.900000 , 0.998172 , 0.268800
0.910000 , 0.998250 , 0.272000
0.920000 , 0.998282 , 0.268800
0.930000 , 0.998326 , 0.268800
0.940000 , 0.998346 , 0.268800
0.950000 , 0.998386 , 0.272000
0.960000 , 0.998380 , 0.268800
0.970000 , 0.998392 , 0.268800
0.980000 , 0.998400 , 0.268800
0.990000 , 0.998398 , 0.268800
1.000000 , 0.998400 , 0.268800
Time: 5.306215 seconds
