Probability of fire spreading, Average percent burned, number of iterations
0.000000 , 0.000000 , 0.006400
0.010000 , 0.000028 , 0.006400
0.020000 , 0.000045 , 0.006400
0.030000 , 0.000082 , 0.006400
0.040000 , 0.000116 , 0.006400
0.050000 , 0.000113 , 0.006400
0.060000 , 0.000169 , 0.006400
0.070000 , 0.000190 , 0.006600
0.080000 , 0.000239 , 0.006400
0.090000 , 0.000316 , 0.006600
0.100000 , 0.000318 , 0.009400
0.110000 , 0.000446 , 0.006600
0.120000 , 0.000468 , 0.009400
0.130000 , 0.000518 , 0.006400
0.140000 , 0.000611 , 0.006600
0.150000 , 0.000551 , 0.009400
0.160000 , 0.000668 , 0.009400
0.170000 , 0.000786 , 0.006400
0.180000 , 0.000881 , 0.007200
0.190000 , 0.000898 , 0.006400
0.200000 , 0.001191 , 0.007000
0.210000 , 0.001274 , 0.007200
0.220000 , 0.001159 , 0.009800
0.230000 , 0.001540 , 0.017600
0.240000 , 0.001726 , 0.006400
0.250000 , 0.001957 , 0.021800
0.260000 , 0.002279 , 0.015800
0.270000 , 0.002721 , 0.007000
0.280000 , 0.003172 , 0.022000
0.290000 , 0.003469 , 0.011200
0.300000 , 0.003923 , 0.007600
0.310000 , 0.003534 , 0.007400
0.320000 , 0.004531 , 0.016000
0.330000 , 0.005970 , 0.052200
0.340000 , 0.007090 , 0.028000
0.350000 , 0.007494 , 0.038400
0.360000 , 0.008807 , 0.045600
0.370000 , 0.011132 , 0.099200
0.380000 , 0.014418 , 0.037400
0.390000 , 0.015349 , 0.011400
0.400000 , 0.019202 , 0.027400
0.410000 , 0.023657 , 0.018600
0.420000 , 0.032435 , 0.064200
0.430000 , 0.038795 , 0.028200
0.440000 , 0.060438 , 0.122000
0.450000 , 0.078165 , 0.012800
0.460000 , 0.098007 , 0.022400
0.470000 , 0.135878 , 0.006400
0.480000 , 0.193957 , 0.183400
0.490000 , 0.245027 , 0.175600
0.500000 , 0.326836 , 0.021200
0.510000 , 0.400384 , 0.207000
0.520000 , 0.496523 , 0.158200
0.530000 , 0.570851 , 0.025200
0.540000 , 0.627852 , 0.195600
0.550000 , 0.719002 , 0.296200
0.560000 , 0.747500 , 0.190400
0.570000 , 0.779789 , 0.168600
0.580000 , 0.834631 , 0.174000
0.590000 , 0.851724 , 0.158800
0.600000 , 0.869600 , 0.169600
0.610000 , 0.898739 , 0.194000
0.620000 , 0.903173 , 0.153400
0.630000 , 0.924236 , 0.172200
0.640000 , 0.936303 , 0.177800
0.650000 , 0.937824 , 0.163000
0.660000 , 0.956211 , 0.173600
0.670000 , 0.943985 , 0.162200
0.680000 , 0.952748 , 0.141000
0.690000 , 0.962523 , 0.158800
0.700000 , 0.965792 , 0.137600
0.710000 , 0.973919 , 0.134600
0.720000 , 0.979965 , 0.137400
0.730000 , 0.984012 , 0.143400
0.740000 , 0.983060 , 0.143400
0.750000 , 0.987556 , 0.140400
0.760000 , 0.985479 , 0.143400
0.770000 , 0.992821 , 0.138200
0.780000 , 0.987346 , 0.131600
0.790000 , 0.990920 , 0.134600
0.800000 , 0.995316 , 0.134800
0.810000 , 0.995796 , 0.134400
0.820000 , 0.996316 , 0.140400
0.830000 , 0.996776 , 0.134600
0.840000 , 0.997013 , 0.134600
0.850000 , 0.997374 , 0.131600
0.860000 , 0.997562 , 0.134800
0.870000 , 0.997555 , 0.134400
0.880000 , 0.997947 , 0.134400
0.890000 , 0.995087 , 0.134400
0.900000 , 0.998202 , 0.134400
0.910000 , 0.998223 , 0.134400
0.920000 , 0.998259 , 0.134400
0.930000 , 0.998343 , 0.134400
0.940000 , 0.998357 , 0.134400
0.950000 , 0.998387 , 0.134400
0.960000 , 0.998382 , 0.134400
0.970000 , 0.998394 , 0.134400
0.980000 , 0.998400 , 0.134400
0.990000 , 0.998400 , 0.134400
1.000000 , 0.998400 , 0.134400
Time: 10.124030 seconds
