Probability of fire spreading, Average percent burned, number of iterations
0.000000 , 0.000000 , 0.000400
0.010000 , 0.000022 , 0.000400
0.020000 , 0.000054 , 0.000400
0.030000 , 0.000084 , 0.000400
0.040000 , 0.000112 , 0.000400
0.050000 , 0.000153 , 0.000400
0.060000 , 0.000181 , 0.000400
0.070000 , 0.000217 , 0.000400
0.080000 , 0.000264 , 0.000600
0.090000 , 0.000307 , 0.000600
0.100000 , 0.000350 , 0.000400
0.110000 , 0.000404 , 0.000800
0.120000 , 0.000457 , 0.000800
0.130000 , 0.000518 , 0.000400
0.140000 , 0.000597 , 0.001000
0.150000 , 0.000670 , 0.000400
0.160000 , 0.000730 , 0.000400
0.170000 , 0.000819 , 0.000800
0.180000 , 0.000910 , 0.000800
0.190000 , 0.001052 , 0.001000
0.200000 , 0.001160 , 0.000800
0.210000 , 0.001263 , 0.000400
0.220000 , 0.001442 , 0.000800
0.230000 , 0.001598 , 0.000800
0.240000 , 0.001789 , 0.000400
0.250000 , 0.001981 , 0.001000
0.260000 , 0.002277 , 0.000400
0.270000 , 0.002517 , 0.000600
0.280000 , 0.002766 , 0.000400
0.290000 , 0.003158 , 0.000800
0.300000 , 0.003505 , 0.000800
0.310000 , 0.004181 , 0.002800
0.320000 , 0.004629 , 0.003200
0.330000 , 0.005312 , 0.000600
0.340000 , 0.006360 , 0.002600
0.350000 , 0.007545 , 0.000600
0.360000 , 0.008611 , 0.000400
0.370000 , 0.010703 , 0.003600
0.380000 , 0.012655 , 0.005000
0.390000 , 0.015249 , 0.005400
0.400000 , 0.019177 , 0.003000
0.410000 , 0.024545 , 0.000600
0.420000 , 0.031348 , 0.001000
0.430000 , 0.041499 , 0.001600
0.440000 , 0.054747 , 0.000800
0.450000 , 0.073821 , 0.000600
0.460000 , 0.099171 , 0.014600
0.470000 , 0.135194 , 0.004400
0.480000 , 0.182332 , 0.009600
0.490000 , 0.245051 , 0.010600
0.500000 , 0.327775 , 0.002000
0.510000 , 0.401127 , 0.011400
0.520000 , 0.491219 , 0.000600
0.530000 , 0.566702 , 0.005400
0.540000 , 0.641544 , 0.013400
0.550000 , 0.704665 , 0.013600
0.560000 , 0.759212 , 0.011600
0.570000 , 0.796086 , 0.014000
0.580000 , 0.827296 , 0.009600
0.590000 , 0.848976 , 0.010200
0.600000 , 0.877768 , 0.009800
0.610000 , 0.887144 , 0.010200
0.620000 , 0.904901 , 0.011600
0.630000 , 0.916813 , 0.010400
0.640000 , 0.933473 , 0.009800
0.650000 , 0.941838 , 0.010400
0.660000 , 0.950853 , 0.010400
0.670000 , 0.957112 , 0.009000
0.680000 , 0.960791 , 0.010000
0.690000 , 0.966919 , 0.008400
0.700000 , 0.973283 , 0.009000
0.710000 , 0.975244 , 0.008800
0.720000 , 0.978540 , 0.009200
0.730000 , 0.981326 , 0.008600
0.740000 , 0.984427 , 0.008600
0.750000 , 0.988061 , 0.008800
0.760000 , 0.989419 , 0.008600
0.770000 , 0.991540 , 0.009000
0.780000 , 0.992837 , 0.008400
0.790000 , 0.993593 , 0.008400
0.800000 , 0.994438 , 0.008400
0.810000 , 0.996029 , 0.008400
0.820000 , 0.996902 , 0.008400
0.830000 , 0.997544 , 0.008400
0.840000 , 0.998501 , 0.008600
0.850000 , 0.998361 , 0.008400
0.860000 , 0.998977 , 0.008400
0.870000 , 0.998754 , 0.008400
0.880000 , 0.998926 , 0.008400
0.890000 , 0.999639 , 0.008400
0.900000 , 0.999544 , 0.008400
0.910000 , 0.999426 , 0.008400
0.920000 , 0.999881 , 0.008400
0.930000 , 0.999925 , 0.008400
0.940000 , 0.999953 , 0.008400
0.950000 , 0.999970 , 0.008400
0.960000 , 0.999986 , 0.008400
0.970000 , 0.999994 , 0.008400
0.980000 , 0.999998 , 0.008400
0.990000 , 0.999999 , 0.008400
1.000000 , 1.000000 , 0.008400
Time: 159.805354 seconds
