Probability of fire spreading, Average percent burned, number of iterations
0.000000 , 0.000000 , 0.003200
0.010000 , 0.000018 , 0.003200
0.020000 , 0.000062 , 0.003200
0.030000 , 0.000088 , 0.003200
0.040000 , 0.000109 , 0.003200
0.050000 , 0.000121 , 0.003200
0.060000 , 0.000150 , 0.004800
0.070000 , 0.000217 , 0.003200
0.080000 , 0.000265 , 0.004800
0.090000 , 0.000323 , 0.004800
0.100000 , 0.000369 , 0.003200
0.110000 , 0.000399 , 0.003200
0.120000 , 0.000419 , 0.003200
0.130000 , 0.000527 , 0.003200
0.140000 , 0.000558 , 0.004800
0.150000 , 0.000659 , 0.003200
0.160000 , 0.000839 , 0.003200
0.170000 , 0.000842 , 0.003200
0.180000 , 0.000925 , 0.004800
0.190000 , 0.001055 , 0.003200
0.200000 , 0.001180 , 0.004800
0.210000 , 0.001261 , 0.003200
0.220000 , 0.001342 , 0.003200
0.230000 , 0.001546 , 0.003200
0.240000 , 0.001880 , 0.004800
0.250000 , 0.002105 , 0.006400
0.260000 , 0.002089 , 0.004800
0.270000 , 0.002540 , 0.003200
0.280000 , 0.002853 , 0.004800
0.290000 , 0.003567 , 0.012800
0.300000 , 0.003542 , 0.020800
0.310000 , 0.004317 , 0.011200
0.320000 , 0.004712 , 0.009600
0.330000 , 0.005537 , 0.017600
0.340000 , 0.006110 , 0.016000
0.350000 , 0.007444 , 0.008000
0.360000 , 0.009415 , 0.006400
0.370000 , 0.010551 , 0.006400
0.380000 , 0.011736 , 0.019200
0.390000 , 0.014580 , 0.022400
0.400000 , 0.020310 , 0.004800
0.410000 , 0.026581 , 0.003200
0.420000 , 0.032546 , 0.072000
0.430000 , 0.044175 , 0.014400
0.440000 , 0.052762 , 0.027200
0.450000 , 0.068913 , 0.006400
0.460000 , 0.104692 , 0.123200
0.470000 , 0.136684 , 0.049600
0.480000 , 0.175735 , 0.076800
0.490000 , 0.253754 , 0.004800
0.500000 , 0.330215 , 0.014400
0.510000 , 0.407792 , 0.115200
0.520000 , 0.482893 , 0.112000
0.530000 , 0.583232 , 0.115200
0.540000 , 0.630151 , 0.124800
0.550000 , 0.699158 , 0.118400
0.560000 , 0.752515 , 0.094400
0.570000 , 0.785595 , 0.006400
0.580000 , 0.811409 , 0.073600
0.590000 , 0.849706 , 0.076800
0.600000 , 0.881127 , 0.078400
0.610000 , 0.885349 , 0.100800
0.620000 , 0.911099 , 0.078400
0.630000 , 0.902774 , 0.070400
0.640000 , 0.925560 , 0.089600
0.650000 , 0.934830 , 0.083200
0.660000 , 0.954535 , 0.076800
0.670000 , 0.957279 , 0.070400
0.680000 , 0.965731 , 0.072000
0.690000 , 0.965822 , 0.075200
0.700000 , 0.971949 , 0.073600
0.710000 , 0.975661 , 0.067200
0.720000 , 0.977515 , 0.068800
0.730000 , 0.978344 , 0.073600
0.740000 , 0.990948 , 0.067200
0.750000 , 0.984475 , 0.068800
0.760000 , 0.985671 , 0.067200
0.770000 , 0.992943 , 0.068800
0.780000 , 0.992157 , 0.065600
0.790000 , 0.994497 , 0.067200
0.800000 , 0.995269 , 0.068800
0.810000 , 0.995880 , 0.070400
0.820000 , 0.997825 , 0.067200
0.830000 , 0.996745 , 0.067200
0.840000 , 0.998685 , 0.067200
0.850000 , 0.998983 , 0.067200
0.860000 , 0.999194 , 0.067200
0.870000 , 0.997782 , 0.067200
0.880000 , 0.997952 , 0.067200
0.890000 , 0.999664 , 0.067200
0.900000 , 0.999794 , 0.067200
0.910000 , 0.999829 , 0.067200
0.920000 , 0.999878 , 0.067200
0.930000 , 0.999928 , 0.067200
0.940000 , 0.999946 , 0.067200
0.950000 , 0.999962 , 0.067200
0.960000 , 0.999993 , 0.067200
0.970000 , 0.999993 , 0.067200
0.980000 , 0.999998 , 0.067200
0.990000 , 1.000000 , 0.067200
1.000000 , 1.000000 , 0.067200
Time: 20.111300 seconds
