Probability of fire spreading, Average percent burned, number of iterations
0.000000 , 0.000000 , 0.000400
0.010000 , 0.000088 , 0.000400
0.020000 , 0.000207 , 0.000400
0.030000 , 0.000331 , 0.000400
0.040000 , 0.000455 , 0.000400
0.050000 , 0.000593 , 0.000400
0.060000 , 0.000735 , 0.000400
0.070000 , 0.000838 , 0.000400
0.080000 , 0.001090 , 0.000600
0.090000 , 0.001225 , 0.000400
0.100000 , 0.001476 , 0.000400
0.110000 , 0.001665 , 0.000600
0.120000 , 0.001809 , 0.000400
0.130000 , 0.002086 , 0.000800
0.140000 , 0.002387 , 0.000400
0.150000 , 0.002651 , 0.001000
0.160000 , 0.002921 , 0.000600
0.170000 , 0.003344 , 0.000400
0.180000 , 0.003739 , 0.000600
0.190000 , 0.004066 , 0.001000
0.200000 , 0.004577 , 0.000400
0.210000 , 0.005148 , 0.000600
0.220000 , 0.005729 , 0.000600
0.230000 , 0.006534 , 0.001200
0.240000 , 0.007298 , 0.000800
0.250000 , 0.008044 , 0.000400
0.260000 , 0.008947 , 0.000400
0.270000 , 0.009981 , 0.000600
0.280000 , 0.011093 , 0.002400
0.290000 , 0.012842 , 0.001000
0.300000 , 0.014757 , 0.000600
0.310000 , 0.016025 , 0.001600
0.320000 , 0.019052 , 0.000400
0.330000 , 0.021881 , 0.000600
0.340000 , 0.024577 , 0.000400
0.350000 , 0.029835 , 0.000800
0.360000 , 0.033842 , 0.000400
0.370000 , 0.040608 , 0.001400
0.380000 , 0.048115 , 0.000600
0.390000 , 0.055752 , 0.001600
0.400000 , 0.065161 , 0.000400
0.410000 , 0.078940 , 0.003200
0.420000 , 0.094914 , 0.005000
0.430000 , 0.111123 , 0.001200
0.440000 , 0.134481 , 0.000600
0.450000 , 0.165187 , 0.001600
0.460000 , 0.197529 , 0.003800
0.470000 , 0.231335 , 0.005200
0.480000 , 0.274439 , 0.006000
0.490000 , 0.321855 , 0.006200
0.500000 , 0.377366 , 0.006600
0.510000 , 0.421544 , 0.007400
0.520000 , 0.483024 , 0.000400
0.530000 , 0.537452 , 0.006200
0.540000 , 0.595413 , 0.006000
0.550000 , 0.634340 , 0.007600
0.560000 , 0.692479 , 0.006800
0.570000 , 0.738396 , 0.005000
0.580000 , 0.771119 , 0.005800
0.590000 , 0.805287 , 0.005600
0.600000 , 0.844196 , 0.005600
0.610000 , 0.858051 , 0.005600
0.620000 , 0.884227 , 0.006200
0.630000 , 0.897270 , 0.004800
0.640000 , 0.912841 , 0.005600
0.650000 , 0.923249 , 0.005600
0.660000 , 0.932770 , 0.005600
0.670000 , 0.948974 , 0.005600
0.680000 , 0.951633 , 0.005400
0.690000 , 0.957106 , 0.004400
0.700000 , 0.961500 , 0.005000
0.710000 , 0.969978 , 0.005000
0.720000 , 0.974402 , 0.004400
0.730000 , 0.978245 , 0.004400
0.740000 , 0.981381 , 0.004800
0.750000 , 0.983544 , 0.004600
0.760000 , 0.986769 , 0.004400
0.770000 , 0.986959 , 0.004400
0.780000 , 0.990243 , 0.004400
0.790000 , 0.989987 , 0.004600
0.800000 , 0.993287 , 0.004600
0.810000 , 0.993441 , 0.004400
0.820000 , 0.995394 , 0.004400
0.830000 , 0.996519 , 0.004600
0.840000 , 0.997276 , 0.004400
0.850000 , 0.997302 , 0.004400
0.860000 , 0.998298 , 0.004400
0.870000 , 0.998700 , 0.004400
0.880000 , 0.999212 , 0.004400
0.890000 , 0.999404 , 0.004400
0.900000 , 0.999155 , 0.004200
0.910000 , 0.999678 , 0.004600
0.920000 , 0.999562 , 0.004400
0.930000 , 0.999845 , 0.004400
0.940000 , 0.999696 , 0.004400
0.950000 , 0.999944 , 0.004400
0.960000 , 0.999963 , 0.004400
0.970000 , 0.999987 , 0.004400
0.980000 , 0.999994 , 0.004400
0.990000 , 0.999997 , 0.004400
1.000000 , 1.000000 , 0.004400
Time: 27.866577 seconds
