Probability of fire spreading, Average percent burned, number of iterations
0.000000 , 0.000000 , 0.000800
0.010000 , 0.000094 , 0.000800
0.020000 , 0.000205 , 0.001200
0.030000 , 0.000300 , 0.000800
0.040000 , 0.000417 , 0.000800
0.050000 , 0.000587 , 0.000800
0.060000 , 0.000721 , 0.001200
0.070000 , 0.000888 , 0.000800
0.080000 , 0.001083 , 0.000800
0.090000 , 0.001240 , 0.000800
0.100000 , 0.001423 , 0.001200
0.110000 , 0.001743 , 0.000800
0.120000 , 0.001885 , 0.000800
0.130000 , 0.002059 , 0.000800
0.140000 , 0.002424 , 0.000800
0.150000 , 0.002617 , 0.001200
0.160000 , 0.003150 , 0.001200
0.170000 , 0.003376 , 0.000800
0.180000 , 0.003663 , 0.001200
0.190000 , 0.004306 , 0.002000
0.200000 , 0.004559 , 0.002000
0.210000 , 0.005077 , 0.000800
0.220000 , 0.005605 , 0.001600
0.230000 , 0.006406 , 0.003600
0.240000 , 0.006999 , 0.001200
0.250000 , 0.007915 , 0.002000
0.260000 , 0.008722 , 0.000800
0.270000 , 0.009884 , 0.003200
0.280000 , 0.011636 , 0.000800
0.290000 , 0.013104 , 0.006000
0.300000 , 0.014274 , 0.002400
0.310000 , 0.017035 , 0.002400
0.320000 , 0.018630 , 0.001200
0.330000 , 0.021474 , 0.000800
0.340000 , 0.025467 , 0.000800
0.350000 , 0.028857 , 0.002000
0.360000 , 0.032904 , 0.001200
0.370000 , 0.042121 , 0.003200
0.380000 , 0.047482 , 0.012400
0.390000 , 0.054840 , 0.008400
0.400000 , 0.064175 , 0.000800
0.410000 , 0.075213 , 0.002400
0.420000 , 0.093182 , 0.002000
0.430000 , 0.113035 , 0.007600
0.440000 , 0.135857 , 0.009600
0.450000 , 0.165444 , 0.017600
0.460000 , 0.198219 , 0.002400
0.470000 , 0.230723 , 0.012000
0.480000 , 0.273780 , 0.002800
0.490000 , 0.322662 , 0.005200
0.500000 , 0.369965 , 0.014800
0.510000 , 0.423239 , 0.006000
0.520000 , 0.472002 , 0.014000
0.530000 , 0.538872 , 0.014000
0.540000 , 0.600533 , 0.012000
0.550000 , 0.643557 , 0.014800
0.560000 , 0.697756 , 0.023200
0.570000 , 0.727716 , 0.017600
0.580000 , 0.772990 , 0.017600
0.590000 , 0.809812 , 0.010000
0.600000 , 0.837997 , 0.013600
0.610000 , 0.861826 , 0.009200
0.620000 , 0.875026 , 0.012000
0.630000 , 0.894539 , 0.010400
0.640000 , 0.910095 , 0.010000
0.650000 , 0.920780 , 0.010400
0.660000 , 0.935274 , 0.015200
0.670000 , 0.947831 , 0.009200
0.680000 , 0.952672 , 0.008800
0.690000 , 0.958727 , 0.010400
0.700000 , 0.965444 , 0.009600
0.710000 , 0.971481 , 0.010000
0.720000 , 0.971770 , 0.008800
0.730000 , 0.980096 , 0.008800
0.740000 , 0.982550 , 0.009200
0.750000 , 0.982526 , 0.008800
0.760000 , 0.986193 , 0.008800
0.770000 , 0.988895 , 0.008800
0.780000 , 0.989974 , 0.008800
0.790000 , 0.991333 , 0.009600
0.800000 , 0.993213 , 0.009600
0.810000 , 0.994145 , 0.008800
0.820000 , 0.994830 , 0.009600
0.830000 , 0.997439 , 0.009600
0.840000 , 0.997124 , 0.008800
0.850000 , 0.997306 , 0.008800
0.860000 , 0.998675 , 0.008800
0.870000 , 0.998181 , 0.008800
0.880000 , 0.998430 , 0.008800
0.890000 , 0.998619 , 0.008800
0.900000 , 0.999531 , 0.008800
0.910000 , 0.999658 , 0.008800
0.920000 , 0.999758 , 0.008800
0.930000 , 0.999850 , 0.008800
0.940000 , 0.999895 , 0.008800
0.950000 , 0.999934 , 0.008800
0.960000 , 0.999976 , 0.008800
0.970000 , 0.999983 , 0.008800
0.980000 , 0.999994 , 0.008800
0.990000 , 1.000000 , 0.008800
1.000000 , 1.000000 , 0.008800
Time: 13.995515 seconds
