Probability of fire spreading, Average percent burned, number of iterations
0.000000 , 0.000000 , 0.025600
0.010000 , 0.000080 , 0.025600
0.020000 , 0.000201 , 0.025600
0.030000 , 0.000321 , 0.025600
0.040000 , 0.000433 , 0.025600
0.050000 , 0.000561 , 0.025600
0.060000 , 0.000561 , 0.025600
0.070000 , 0.000938 , 0.025600
0.080000 , 0.000962 , 0.025600
0.090000 , 0.001379 , 0.028800
0.100000 , 0.001436 , 0.025600
0.110000 , 0.001684 , 0.035200
0.120000 , 0.001740 , 0.032000
0.130000 , 0.002173 , 0.032000
0.140000 , 0.002254 , 0.032000
0.150000 , 0.002863 , 0.032000
0.160000 , 0.002871 , 0.025600
0.170000 , 0.003232 , 0.035200
0.180000 , 0.003785 , 0.041600
0.190000 , 0.004315 , 0.028800
0.200000 , 0.004579 , 0.028800
0.210000 , 0.005630 , 0.038400
0.220000 , 0.005782 , 0.080000
0.230000 , 0.007002 , 0.048000
0.240000 , 0.007451 , 0.041600
0.250000 , 0.008453 , 0.080000
0.260000 , 0.010594 , 0.076800
0.270000 , 0.010258 , 0.054400
0.280000 , 0.011653 , 0.080000
0.290000 , 0.013554 , 0.064000
0.300000 , 0.014701 , 0.051200
0.310000 , 0.016168 , 0.054400
0.320000 , 0.019633 , 0.070400
0.330000 , 0.021061 , 0.035200
0.340000 , 0.023475 , 0.105600
0.350000 , 0.032056 , 0.092800
0.360000 , 0.034919 , 0.099200
0.370000 , 0.040421 , 0.096000
0.380000 , 0.050222 , 0.089600
0.390000 , 0.057159 , 0.070400
0.400000 , 0.060608 , 0.115200
0.410000 , 0.079671 , 0.153600
0.420000 , 0.099016 , 0.220800
0.430000 , 0.109025 , 0.092800
0.440000 , 0.121905 , 0.192000
0.450000 , 0.172263 , 0.220800
0.460000 , 0.197718 , 0.067200
0.470000 , 0.219020 , 0.211200
0.480000 , 0.261598 , 0.307200
0.490000 , 0.286829 , 0.342400
0.500000 , 0.367222 , 0.393600
0.510000 , 0.401107 , 0.432000
0.520000 , 0.479703 , 0.345600
0.530000 , 0.546085 , 0.361600
0.540000 , 0.606019 , 0.361600
0.550000 , 0.641901 , 0.342400
0.560000 , 0.692122 , 0.400000
0.570000 , 0.737059 , 0.342400
0.580000 , 0.774905 , 0.380800
0.590000 , 0.804227 , 0.412800
0.600000 , 0.818318 , 0.467200
0.610000 , 0.858867 , 0.323200
0.620000 , 0.877762 , 0.486400
0.630000 , 0.894268 , 0.435200
0.640000 , 0.906755 , 0.380800
0.650000 , 0.931561 , 0.348800
0.660000 , 0.936116 , 0.323200
0.670000 , 0.935507 , 0.320000
0.680000 , 0.947489 , 0.313600
0.690000 , 0.963777 , 0.329600
0.700000 , 0.971356 , 0.307200
0.710000 , 0.962069 , 0.310400
0.720000 , 0.965045 , 0.313600
0.730000 , 0.976048 , 0.307200
0.740000 , 0.981406 , 0.284800
0.750000 , 0.980916 , 0.281600
0.760000 , 0.985592 , 0.281600
0.770000 , 0.984646 , 0.300800
0.780000 , 0.991880 , 0.291200
0.790000 , 0.983266 , 0.281600
0.800000 , 0.993404 , 0.284800
0.810000 , 0.991591 , 0.284800
0.820000 , 0.995176 , 0.288000
0.830000 , 0.995866 , 0.288000
0.840000 , 0.996307 , 0.281600
0.850000 , 0.990308 , 0.288000
0.860000 , 0.996796 , 0.291200
0.870000 , 0.997117 , 0.281600
0.880000 , 0.997534 , 0.288000
0.890000 , 0.997702 , 0.288000
0.900000 , 0.997919 , 0.281600
0.910000 , 0.998031 , 0.278400
0.920000 , 0.998119 , 0.281600
0.930000 , 0.998272 , 0.281600
0.940000 , 0.998296 , 0.281600
0.950000 , 0.998384 , 0.281600
0.960000 , 0.998392 , 0.281600
0.970000 , 0.998368 , 0.281600
0.980000 , 0.998400 , 0.281600
0.990000 , 0.998400 , 0.281600
1.000000 , 0.998400 , 0.281600
Time: 0.519603 seconds
