Probability of fire spreading, Average percent burned, number of iterations
0.000000 , 0.000000 , 0.051200
0.010000 , 0.000112 , 0.051200
0.020000 , 0.000233 , 0.051200
0.030000 , 0.000249 , 0.054400
0.040000 , 0.000425 , 0.051200
0.050000 , 0.000585 , 0.064000
0.060000 , 0.000834 , 0.060800
0.070000 , 0.000930 , 0.064000
0.080000 , 0.001187 , 0.067200
0.090000 , 0.001371 , 0.057600
0.100000 , 0.001259 , 0.054400
0.110000 , 0.001724 , 0.057600
0.120000 , 0.001636 , 0.070400
0.130000 , 0.002077 , 0.060800
0.140000 , 0.002165 , 0.067200
0.150000 , 0.002647 , 0.102400
0.160000 , 0.002991 , 0.067200
0.170000 , 0.003184 , 0.064000
0.180000 , 0.003761 , 0.064000
0.190000 , 0.003834 , 0.076800
0.200000 , 0.004507 , 0.073600
0.210000 , 0.005349 , 0.054400
0.220000 , 0.005750 , 0.089600
0.230000 , 0.006175 , 0.092800
0.240000 , 0.007354 , 0.096000
0.250000 , 0.009279 , 0.144000
0.260000 , 0.008942 , 0.153600
0.270000 , 0.009552 , 0.131200
0.280000 , 0.010827 , 0.092800
0.290000 , 0.014043 , 0.176000
0.300000 , 0.016225 , 0.099200
0.310000 , 0.014308 , 0.105600
0.320000 , 0.020146 , 0.112000
0.330000 , 0.023338 , 0.163200
0.340000 , 0.025656 , 0.121600
0.350000 , 0.025440 , 0.179200
0.360000 , 0.031054 , 0.297600
0.370000 , 0.036291 , 0.166400
0.380000 , 0.050550 , 0.179200
0.390000 , 0.051368 , 0.137600
0.400000 , 0.063278 , 0.268800
0.410000 , 0.079527 , 0.406400
0.420000 , 0.090442 , 0.496000
0.430000 , 0.110155 , 0.368000
0.440000 , 0.127848 , 0.537600
0.450000 , 0.158019 , 0.444800
0.460000 , 0.192209 , 0.412800
0.470000 , 0.231547 , 0.576000
0.480000 , 0.280774 , 0.739200
0.490000 , 0.326552 , 0.640000
0.500000 , 0.377560 , 0.652800
0.510000 , 0.392301 , 0.668800
0.520000 , 0.479014 , 0.828800
0.530000 , 0.527511 , 0.656000
0.540000 , 0.573594 , 0.665600
0.550000 , 0.671310 , 0.851200
0.560000 , 0.681375 , 0.787200
0.570000 , 0.717562 , 0.992000
0.580000 , 0.781698 , 0.752000
0.590000 , 0.805510 , 0.816000
0.600000 , 0.844118 , 0.886400
0.610000 , 0.851104 , 0.774400
0.620000 , 0.859621 , 0.537600
0.630000 , 0.888662 , 0.768000
0.640000 , 0.909626 , 0.678400
0.650000 , 0.909522 , 0.675200
0.660000 , 0.926468 , 0.636800
0.670000 , 0.936092 , 0.560000
0.680000 , 0.950560 , 0.704000
0.690000 , 0.951114 , 0.627200
0.700000 , 0.969945 , 0.659200
0.710000 , 0.971300 , 0.601600
0.720000 , 0.963248 , 0.598400
0.730000 , 0.972928 , 0.601600
0.740000 , 0.981798 , 0.582400
0.750000 , 0.984028 , 0.582400
0.760000 , 0.985921 , 0.633600
0.770000 , 0.974436 , 0.579200
0.780000 , 0.978687 , 0.576000
0.790000 , 0.989305 , 0.572800
0.800000 , 0.993548 , 0.585600
0.810000 , 0.994815 , 0.582400
0.820000 , 0.994839 , 0.579200
0.830000 , 0.995769 , 0.569600
0.840000 , 0.996459 , 0.579200
0.850000 , 0.996620 , 0.566400
0.860000 , 0.996868 , 0.563200
0.870000 , 0.997173 , 0.569600
0.880000 , 0.997582 , 0.563200
0.890000 , 0.997823 , 0.572800
0.900000 , 0.997935 , 0.563200
0.910000 , 0.998103 , 0.566400
0.920000 , 0.998240 , 0.563200
0.930000 , 0.998256 , 0.563200
0.940000 , 0.998264 , 0.563200
0.950000 , 0.998288 , 0.563200
0.960000 , 0.998368 , 0.563200
0.970000 , 0.998368 , 0.563200
0.980000 , 0.998400 , 0.563200
0.990000 , 0.998400 , 0.563200
1.000000 , 0.998400 , 0.563200
Time: 0.254124 seconds
