Probability of fire spreading, Average percent burned, number of iterations
0.000000 , 0.000000 , 0.001600
0.010000 , 0.000116 , 0.001600
0.020000 , 0.000227 , 0.001600
0.030000 , 0.000353 , 0.001600
0.040000 , 0.000449 , 0.001600
0.050000 , 0.000589 , 0.001600
0.060000 , 0.000744 , 0.001600
0.070000 , 0.000914 , 0.001600
0.080000 , 0.001027 , 0.001600
0.090000 , 0.001255 , 0.001600
0.100000 , 0.001414 , 0.001600
0.110000 , 0.001596 , 0.001600
0.120000 , 0.001881 , 0.002400
0.130000 , 0.002127 , 0.003200
0.140000 , 0.002352 , 0.001600
0.150000 , 0.002711 , 0.001600
0.160000 , 0.002963 , 0.002400
0.170000 , 0.003394 , 0.001600
0.180000 , 0.003936 , 0.002400
0.190000 , 0.004120 , 0.002400
0.200000 , 0.004826 , 0.002400
0.210000 , 0.005069 , 0.002400
0.220000 , 0.005768 , 0.002400
0.230000 , 0.006422 , 0.002400
0.240000 , 0.007374 , 0.003200
0.250000 , 0.007783 , 0.004000
0.260000 , 0.008740 , 0.006400
0.270000 , 0.009923 , 0.004800
0.280000 , 0.011687 , 0.005600
0.290000 , 0.012804 , 0.003200
0.300000 , 0.015302 , 0.001600
0.310000 , 0.015727 , 0.007200
0.320000 , 0.018753 , 0.002400
0.330000 , 0.021255 , 0.001600
0.340000 , 0.025107 , 0.001600
0.350000 , 0.028614 , 0.001600
0.360000 , 0.032702 , 0.003200
0.370000 , 0.038296 , 0.001600
0.380000 , 0.047068 , 0.010400
0.390000 , 0.057592 , 0.011200
0.400000 , 0.066919 , 0.001600
0.410000 , 0.080501 , 0.008800
0.420000 , 0.096096 , 0.008000
0.430000 , 0.112886 , 0.003200
0.440000 , 0.134957 , 0.024800
0.450000 , 0.164144 , 0.017600
0.460000 , 0.199513 , 0.001600
0.470000 , 0.237634 , 0.011200
0.480000 , 0.266456 , 0.004800
0.490000 , 0.321921 , 0.024800
0.500000 , 0.372068 , 0.027200
0.510000 , 0.422837 , 0.029600
0.520000 , 0.486408 , 0.032000
0.530000 , 0.528790 , 0.042400
0.540000 , 0.604269 , 0.028800
0.550000 , 0.636353 , 0.023200
0.560000 , 0.684213 , 0.020000
0.570000 , 0.735396 , 0.001600
0.580000 , 0.777444 , 0.026400
0.590000 , 0.813165 , 0.024800
0.600000 , 0.826398 , 0.032000
0.610000 , 0.852471 , 0.020000
0.620000 , 0.889241 , 0.022400
0.630000 , 0.899611 , 0.024000
0.640000 , 0.913738 , 0.020000
0.650000 , 0.919437 , 0.024000
0.660000 , 0.930300 , 0.019200
0.670000 , 0.947601 , 0.024000
0.680000 , 0.951270 , 0.022400
0.690000 , 0.962252 , 0.017600
0.700000 , 0.966127 , 0.019200
0.710000 , 0.964235 , 0.018400
0.720000 , 0.974843 , 0.017600
0.730000 , 0.979086 , 0.017600
0.740000 , 0.980176 , 0.017600
0.750000 , 0.981582 , 0.020800
0.760000 , 0.986288 , 0.018400
0.770000 , 0.989299 , 0.017600
0.780000 , 0.990895 , 0.017600
0.790000 , 0.990520 , 0.017600
0.800000 , 0.995549 , 0.017600
0.810000 , 0.994544 , 0.017600
0.820000 , 0.995910 , 0.017600
0.830000 , 0.996656 , 0.018400
0.840000 , 0.997841 , 0.017600
0.850000 , 0.998324 , 0.017600
0.860000 , 0.997823 , 0.017600
0.870000 , 0.998957 , 0.017600
0.880000 , 0.999132 , 0.017600
0.890000 , 0.999463 , 0.017600
0.900000 , 0.999595 , 0.017600
0.910000 , 0.998833 , 0.017600
0.920000 , 0.999741 , 0.017600
0.930000 , 0.999868 , 0.017600
0.940000 , 0.999902 , 0.017600
0.950000 , 0.999942 , 0.017600
0.960000 , 0.999954 , 0.017600
0.970000 , 0.999984 , 0.017600
0.980000 , 0.999996 , 0.017600
0.990000 , 0.999996 , 0.017600
1.000000 , 1.000000 , 0.017600
Time: 7.061079 seconds
