Probability of fire spreading, Average percent burned, number of iterations
0.000000 , 0.000000 , 0.012800
0.010000 , 0.000161 , 0.012800
0.020000 , 0.000205 , 0.012800
0.030000 , 0.000343 , 0.012800
0.040000 , 0.000518 , 0.016000
0.050000 , 0.000527 , 0.021800
0.060000 , 0.000712 , 0.012800
0.070000 , 0.000914 , 0.019200
0.080000 , 0.001081 , 0.018800
0.090000 , 0.001311 , 0.012800
0.100000 , 0.001543 , 0.022000
0.110000 , 0.001772 , 0.019000
0.120000 , 0.002013 , 0.015800
0.130000 , 0.002158 , 0.019400
0.140000 , 0.002109 , 0.022000
0.150000 , 0.002626 , 0.021800
0.160000 , 0.002819 , 0.012800
0.170000 , 0.003043 , 0.025000
0.180000 , 0.004117 , 0.025400
0.190000 , 0.004555 , 0.023600
0.200000 , 0.004983 , 0.028800
0.210000 , 0.005333 , 0.038400
0.220000 , 0.006326 , 0.025600
0.230000 , 0.006828 , 0.025400
0.240000 , 0.006721 , 0.025400
0.250000 , 0.007576 , 0.016000
0.260000 , 0.009081 , 0.019400
0.270000 , 0.010660 , 0.019000
0.280000 , 0.011900 , 0.028200
0.290000 , 0.013818 , 0.044400
0.300000 , 0.014130 , 0.026000
0.310000 , 0.018382 , 0.041600
0.320000 , 0.019125 , 0.067000
0.330000 , 0.021437 , 0.072800
0.340000 , 0.026589 , 0.023000
0.350000 , 0.031223 , 0.053800
0.360000 , 0.036551 , 0.129800
0.370000 , 0.031688 , 0.018600
0.380000 , 0.048818 , 0.089800
0.390000 , 0.057938 , 0.029800
0.400000 , 0.070287 , 0.089800
0.410000 , 0.082919 , 0.084800
0.420000 , 0.090888 , 0.065000
0.430000 , 0.105157 , 0.043200
0.440000 , 0.134786 , 0.182400
0.450000 , 0.151606 , 0.143000
0.460000 , 0.211939 , 0.078200
0.470000 , 0.236360 , 0.108200
0.480000 , 0.270893 , 0.155200
0.490000 , 0.318460 , 0.161000
0.500000 , 0.352726 , 0.143200
0.510000 , 0.406881 , 0.203800
0.520000 , 0.480769 , 0.095800
0.530000 , 0.537169 , 0.232000
0.540000 , 0.575516 , 0.205800
0.550000 , 0.648672 , 0.182800
0.560000 , 0.686834 , 0.221800
0.570000 , 0.722978 , 0.221400
0.580000 , 0.787309 , 0.173400
0.590000 , 0.818584 , 0.025200
0.600000 , 0.820801 , 0.231800
0.610000 , 0.860430 , 0.252400
0.620000 , 0.863042 , 0.189000
0.630000 , 0.893332 , 0.112600
0.640000 , 0.904015 , 0.153400
0.650000 , 0.916288 , 0.179600
0.660000 , 0.923354 , 0.147800
0.670000 , 0.941372 , 0.179000
0.680000 , 0.954772 , 0.173200
0.690000 , 0.956114 , 0.144800
0.700000 , 0.962032 , 0.166800
0.710000 , 0.974188 , 0.163200
0.720000 , 0.970340 , 0.147600
0.730000 , 0.974348 , 0.154200
0.740000 , 0.980886 , 0.153400
0.750000 , 0.983664 , 0.144000
0.760000 , 0.979905 , 0.147000
0.770000 , 0.981602 , 0.140800
0.780000 , 0.991109 , 0.140800
0.790000 , 0.989657 , 0.153400
0.800000 , 0.987344 , 0.144000
0.810000 , 0.994196 , 0.147400
0.820000 , 0.995693 , 0.143800
0.830000 , 0.995774 , 0.140800
0.840000 , 0.996252 , 0.144000
0.850000 , 0.996550 , 0.147200
0.860000 , 0.997137 , 0.140800
0.870000 , 0.997257 , 0.150000
0.880000 , 0.997486 , 0.140800
0.890000 , 0.997693 , 0.140800
0.900000 , 0.997945 , 0.140800
0.910000 , 0.995154 , 0.140800
0.920000 , 0.998167 , 0.140800
0.930000 , 0.998312 , 0.140800
0.940000 , 0.998304 , 0.140800
0.950000 , 0.998376 , 0.140800
0.960000 , 0.998374 , 0.140800
0.970000 , 0.998384 , 0.140800
0.980000 , 0.998391 , 0.140800
0.990000 , 0.998400 , 0.140800
1.000000 , 0.998400 , 0.140800
Time: 0.973387 seconds
