Probability of fire spreading, Average percent burned, number of iterations
0.000000 , 0.000000 , 0.006400
0.010000 , 0.000112 , 0.006400
0.020000 , 0.000192 , 0.006400
0.030000 , 0.000249 , 0.009600
0.040000 , 0.000345 , 0.006400
0.050000 , 0.000489 , 0.006400
0.060000 , 0.000786 , 0.009600
0.070000 , 0.000802 , 0.006400
0.080000 , 0.000874 , 0.006400
0.090000 , 0.001235 , 0.006400
0.100000 , 0.001355 , 0.006400
0.110000 , 0.001813 , 0.006400
0.120000 , 0.001636 , 0.006400
0.130000 , 0.002149 , 0.006400
0.140000 , 0.002430 , 0.006400
0.150000 , 0.002582 , 0.009600
0.160000 , 0.003240 , 0.009600
0.170000 , 0.003577 , 0.006400
0.180000 , 0.003344 , 0.009600
0.190000 , 0.004042 , 0.012800
0.200000 , 0.004579 , 0.019200
0.210000 , 0.005069 , 0.009600
0.220000 , 0.005558 , 0.006400
0.230000 , 0.006135 , 0.009600
0.240000 , 0.007282 , 0.009600
0.250000 , 0.007972 , 0.009600
0.260000 , 0.010322 , 0.022400
0.270000 , 0.008734 , 0.009600
0.280000 , 0.013057 , 0.016000
0.290000 , 0.012744 , 0.009600
0.300000 , 0.015751 , 0.035200
0.310000 , 0.017083 , 0.035200
0.320000 , 0.018045 , 0.006400
0.330000 , 0.019320 , 0.012800
0.340000 , 0.026089 , 0.006400
0.350000 , 0.029177 , 0.006400
0.360000 , 0.035352 , 0.035200
0.370000 , 0.035192 , 0.019200
0.380000 , 0.049099 , 0.016000
0.390000 , 0.061009 , 0.032000
0.400000 , 0.063799 , 0.006400
0.410000 , 0.085069 , 0.096000
0.420000 , 0.084740 , 0.054400
0.430000 , 0.114222 , 0.060800
0.440000 , 0.111511 , 0.057600
0.450000 , 0.162486 , 0.006400
0.460000 , 0.179665 , 0.057600
0.470000 , 0.237081 , 0.105600
0.480000 , 0.263483 , 0.012800
0.490000 , 0.329335 , 0.131200
0.500000 , 0.382179 , 0.108800
0.510000 , 0.421815 , 0.080000
0.520000 , 0.509995 , 0.192000
0.530000 , 0.537857 , 0.102400
0.540000 , 0.588215 , 0.169600
0.550000 , 0.643994 , 0.006400
0.560000 , 0.698627 , 0.118400
0.570000 , 0.729905 , 0.076800
0.580000 , 0.784658 , 0.092800
0.590000 , 0.815439 , 0.102400
0.600000 , 0.825801 , 0.099200
0.610000 , 0.850855 , 0.089600
0.620000 , 0.875124 , 0.086400
0.630000 , 0.901005 , 0.083200
0.640000 , 0.905263 , 0.076800
0.650000 , 0.920477 , 0.108800
0.660000 , 0.922715 , 0.083200
0.670000 , 0.928393 , 0.080000
0.680000 , 0.947890 , 0.073600
0.690000 , 0.960746 , 0.105600
0.700000 , 0.971332 , 0.070400
0.710000 , 0.964459 , 0.070400
0.720000 , 0.973586 , 0.073600
0.730000 , 0.976184 , 0.070400
0.740000 , 0.979553 , 0.076800
0.750000 , 0.983940 , 0.070400
0.760000 , 0.988680 , 0.076800
0.770000 , 0.990236 , 0.096000
0.780000 , 0.988319 , 0.070400
0.790000 , 0.989393 , 0.070400
0.800000 , 0.993476 , 0.070400
0.810000 , 0.981766 , 0.080000
0.820000 , 0.995256 , 0.070400
0.830000 , 0.996026 , 0.070400
0.840000 , 0.995898 , 0.070400
0.850000 , 0.996884 , 0.070400
0.860000 , 0.996988 , 0.070400
0.870000 , 0.997309 , 0.070400
0.880000 , 0.997654 , 0.070400
0.890000 , 0.997782 , 0.070400
0.900000 , 0.998015 , 0.070400
0.910000 , 0.998127 , 0.070400
0.920000 , 0.998159 , 0.076800
0.930000 , 0.998232 , 0.070400
0.940000 , 0.998304 , 0.070400
0.950000 , 0.998296 , 0.070400
0.960000 , 0.998392 , 0.070400
0.970000 , 0.998392 , 0.070400
0.980000 , 0.998384 , 0.070400
0.990000 , 0.998400 , 0.070400
1.000000 , 0.998400 , 0.070400
Time: 1.868523 seconds
