Probability of fire spreading, Average percent burned, number of iterations
0.000000 , 0.000000 , 0.025600
0.010000 , 0.000005 , 0.025600
0.020000 , 0.000020 , 0.025600
0.030000 , 0.000025 , 0.025600
0.040000 , 0.000019 , 0.028800
0.050000 , 0.000037 , 0.025600
0.060000 , 0.000057 , 0.025600
0.070000 , 0.000042 , 0.038400
0.080000 , 0.000061 , 0.025600
0.090000 , 0.000078 , 0.041600
0.100000 , 0.000080 , 0.028800
0.110000 , 0.000122 , 0.054400
0.120000 , 0.000111 , 0.028800
0.130000 , 0.000136 , 0.054400
0.140000 , 0.000133 , 0.032000
0.150000 , 0.000139 , 0.032000
0.160000 , 0.000197 , 0.041600
0.170000 , 0.000193 , 0.025600
0.180000 , 0.000247 , 0.032000
0.190000 , 0.000247 , 0.025600
0.200000 , 0.000311 , 0.038400
0.210000 , 0.000295 , 0.035200
0.220000 , 0.000415 , 0.041600
0.230000 , 0.000371 , 0.035200
0.240000 , 0.000456 , 0.051200
0.250000 , 0.000434 , 0.038400
0.260000 , 0.000550 , 0.051200
0.270000 , 0.000617 , 0.076800
0.280000 , 0.000638 , 0.044800
0.290000 , 0.000801 , 0.070400
0.300000 , 0.000909 , 0.064000
0.310000 , 0.000962 , 0.054400
0.320000 , 0.001178 , 0.064000
0.330000 , 0.001531 , 0.073600
0.340000 , 0.001291 , 0.076800
0.350000 , 0.001932 , 0.073600
0.360000 , 0.002182 , 0.099200
0.370000 , 0.002533 , 0.038400
0.380000 , 0.003105 , 0.160000
0.390000 , 0.004783 , 0.137600
0.400000 , 0.004545 , 0.128000
0.410000 , 0.005543 , 0.150400
0.420000 , 0.006577 , 0.182400
0.430000 , 0.012020 , 0.384000
0.440000 , 0.014059 , 0.374400
0.450000 , 0.023732 , 0.176000
0.460000 , 0.037182 , 0.569600
0.470000 , 0.057800 , 1.334400
0.480000 , 0.107158 , 0.489600
0.490000 , 0.187314 , 1.552000
0.500000 , 0.268057 , 1.449600
0.510000 , 0.422715 , 1.440000
0.520000 , 0.534814 , 0.704000
0.530000 , 0.631236 , 1.683200
0.540000 , 0.706778 , 1.552000
0.550000 , 0.752755 , 1.536000
0.560000 , 0.795615 , 1.424000
0.570000 , 0.796250 , 1.552000
0.580000 , 0.859679 , 1.340800
0.590000 , 0.836661 , 0.646400
0.600000 , 0.889402 , 1.350400
0.610000 , 0.907843 , 1.132800
0.620000 , 0.914959 , 1.142400
0.630000 , 0.942391 , 1.132800
0.640000 , 0.932155 , 1.113600
0.650000 , 0.943452 , 1.123200
0.660000 , 0.947031 , 1.091200
0.670000 , 0.954192 , 1.091200
0.680000 , 0.960109 , 1.136000
0.690000 , 0.959854 , 1.072000
0.700000 , 0.971769 , 1.094400
0.710000 , 0.982963 , 1.091200
0.720000 , 0.981698 , 1.084800
0.730000 , 0.983288 , 1.065600
0.740000 , 0.990984 , 1.062400
0.750000 , 0.985875 , 1.049600
0.760000 , 0.993088 , 1.056000
0.770000 , 0.994044 , 1.049600
0.780000 , 0.985237 , 1.062400
0.790000 , 0.995295 , 1.052800
0.800000 , 0.995928 , 1.052800
0.810000 , 0.996328 , 1.056000
0.820000 , 0.993587 , 1.049600
0.830000 , 0.997135 , 1.052800
0.840000 , 0.997438 , 1.049600
0.850000 , 0.997603 , 1.049600
0.860000 , 0.997794 , 1.056000
0.870000 , 0.997928 , 1.049600
0.880000 , 0.998048 , 1.049600
0.890000 , 0.998139 , 1.049600
0.900000 , 0.998238 , 1.049600
0.910000 , 0.998295 , 1.049600
0.920000 , 0.998333 , 1.049600
0.930000 , 0.998344 , 1.049600
0.940000 , 0.998380 , 1.049600
0.950000 , 0.998391 , 1.049600
0.960000 , 0.998392 , 1.049600
0.970000 , 0.998399 , 1.049600
0.980000 , 0.998398 , 1.049600
0.990000 , 0.998400 , 1.049600
1.000000 , 0.998400 , 1.049600
Time: 15.567090 seconds
