Probability of fire spreading, Average percent burned, number of iterations
0.000000 , 0.000000 , 0.012800
0.010000 , 0.000008 , 0.012800
0.020000 , 0.000015 , 0.012800
0.030000 , 0.000023 , 0.012800
0.040000 , 0.000033 , 0.012800
0.050000 , 0.000037 , 0.016000
0.060000 , 0.000053 , 0.016000
0.070000 , 0.000049 , 0.012800
0.080000 , 0.000068 , 0.012800
0.090000 , 0.000068 , 0.012800
0.100000 , 0.000084 , 0.025600
0.110000 , 0.000093 , 0.012800
0.120000 , 0.000118 , 0.016000
0.130000 , 0.000125 , 0.038400
0.140000 , 0.000171 , 0.012800
0.150000 , 0.000153 , 0.016000
0.160000 , 0.000204 , 0.028800
0.170000 , 0.000230 , 0.012800
0.180000 , 0.000246 , 0.016000
0.190000 , 0.000238 , 0.016000
0.200000 , 0.000301 , 0.016000
0.210000 , 0.000321 , 0.032000
0.220000 , 0.000303 , 0.035200
0.230000 , 0.000382 , 0.044800
0.240000 , 0.000444 , 0.012800
0.250000 , 0.000465 , 0.019200
0.260000 , 0.000524 , 0.035200
0.270000 , 0.000566 , 0.038400
0.280000 , 0.000760 , 0.054400
0.290000 , 0.000906 , 0.041600
0.300000 , 0.000924 , 0.041600
0.310000 , 0.001181 , 0.028800
0.320000 , 0.001377 , 0.060800
0.330000 , 0.001431 , 0.038400
0.340000 , 0.001601 , 0.028800
0.350000 , 0.002022 , 0.016000
0.360000 , 0.002164 , 0.051200
0.370000 , 0.002461 , 0.070400
0.380000 , 0.003462 , 0.064000
0.390000 , 0.004113 , 0.160000
0.400000 , 0.004437 , 0.064000
0.410000 , 0.007249 , 0.144000
0.420000 , 0.007959 , 0.083200
0.430000 , 0.010141 , 0.067200
0.440000 , 0.013688 , 0.140800
0.450000 , 0.027038 , 0.345600
0.460000 , 0.035842 , 0.243200
0.470000 , 0.068506 , 0.697600
0.480000 , 0.108014 , 0.220800
0.490000 , 0.174696 , 0.326400
0.500000 , 0.264087 , 0.902400
0.510000 , 0.404237 , 0.502400
0.520000 , 0.530123 , 0.582400
0.530000 , 0.654375 , 1.068800
0.540000 , 0.721323 , 0.950400
0.550000 , 0.755047 , 0.931200
0.560000 , 0.796018 , 0.361600
0.570000 , 0.819966 , 0.924800
0.580000 , 0.852442 , 0.684800
0.590000 , 0.858794 , 0.672000
0.600000 , 0.860006 , 0.624000
0.610000 , 0.926017 , 0.595200
0.620000 , 0.908681 , 0.582400
0.630000 , 0.918302 , 0.598400
0.640000 , 0.935328 , 0.595200
0.650000 , 0.952686 , 0.569600
0.660000 , 0.950824 , 0.547200
0.670000 , 0.963338 , 0.560000
0.680000 , 0.960117 , 0.566400
0.690000 , 0.959751 , 0.560000
0.700000 , 0.984492 , 0.528000
0.710000 , 0.970440 , 0.540800
0.720000 , 0.984977 , 0.537600
0.730000 , 0.980283 , 0.534400
0.740000 , 0.987846 , 0.556800
0.750000 , 0.989009 , 0.528000
0.760000 , 0.990056 , 0.534400
0.770000 , 0.987720 , 0.534400
0.780000 , 0.994757 , 0.528000
0.790000 , 0.995414 , 0.537600
0.800000 , 0.995997 , 0.528000
0.810000 , 0.993259 , 0.524800
0.820000 , 0.993619 , 0.524800
0.830000 , 0.997144 , 0.524800
0.840000 , 0.997381 , 0.531200
0.850000 , 0.994418 , 0.528000
0.860000 , 0.997791 , 0.524800
0.870000 , 0.997940 , 0.524800
0.880000 , 0.998053 , 0.524800
0.890000 , 0.998153 , 0.528000
0.900000 , 0.998217 , 0.534400
0.910000 , 0.998292 , 0.524800
0.920000 , 0.998330 , 0.528000
0.930000 , 0.998352 , 0.524800
0.940000 , 0.998372 , 0.528000
0.950000 , 0.998386 , 0.524800
0.960000 , 0.998396 , 0.524800
0.970000 , 0.998396 , 0.524800
0.980000 , 0.998400 , 0.524800
0.990000 , 0.998400 , 0.524800
1.000000 , 0.998400 , 0.524800
Time: 31.070607 seconds
