Probability of fire spreading, Average percent burned, number of iterations
0.000000 , 0.000000 , 0.001600
0.010000 , 0.000006 , 0.001600
0.020000 , 0.000011 , 0.001600
0.030000 , 0.000021 , 0.001600
0.040000 , 0.000025 , 0.001600
0.050000 , 0.000040 , 0.001600
0.060000 , 0.000046 , 0.001600
0.070000 , 0.000047 , 0.001600
0.080000 , 0.000067 , 0.001600
0.090000 , 0.000084 , 0.003200
0.100000 , 0.000090 , 0.002400
0.110000 , 0.000094 , 0.001600
0.120000 , 0.000122 , 0.001600
0.130000 , 0.000128 , 0.002400
0.140000 , 0.000148 , 0.001600
0.150000 , 0.000159 , 0.001600
0.160000 , 0.000178 , 0.001600
0.170000 , 0.000220 , 0.002400
0.180000 , 0.000238 , 0.002400
0.190000 , 0.000265 , 0.002400
0.200000 , 0.000266 , 0.003200
0.210000 , 0.000292 , 0.001600
0.220000 , 0.000360 , 0.004000
0.230000 , 0.000406 , 0.001600
0.240000 , 0.000450 , 0.004000
0.250000 , 0.000492 , 0.003200
0.260000 , 0.000555 , 0.001600
0.270000 , 0.000643 , 0.006400
0.280000 , 0.000711 , 0.009600
0.290000 , 0.000801 , 0.004000
0.300000 , 0.000947 , 0.001600
0.310000 , 0.001017 , 0.002400
0.320000 , 0.001157 , 0.002400
0.330000 , 0.001334 , 0.004000
0.340000 , 0.001552 , 0.001600
0.350000 , 0.001981 , 0.009600
0.360000 , 0.002212 , 0.005600
0.370000 , 0.002578 , 0.001600
0.380000 , 0.003240 , 0.011200
0.390000 , 0.004012 , 0.004800
0.400000 , 0.005305 , 0.003200
0.410000 , 0.006632 , 0.007200
0.420000 , 0.008333 , 0.014400
0.430000 , 0.011055 , 0.023200
0.440000 , 0.016997 , 0.019200
0.450000 , 0.024719 , 0.028000
0.460000 , 0.037579 , 0.002400
0.470000 , 0.064188 , 0.122400
0.480000 , 0.106657 , 0.117600
0.490000 , 0.179581 , 0.033600
0.500000 , 0.285790 , 0.044000
0.510000 , 0.395093 , 0.117600
0.520000 , 0.520083 , 0.007200
0.530000 , 0.624636 , 0.111200
0.540000 , 0.699890 , 0.106400
0.550000 , 0.750248 , 0.099200
0.560000 , 0.795052 , 0.084800
0.570000 , 0.818804 , 0.093600
0.580000 , 0.851525 , 0.090400
0.590000 , 0.874966 , 0.081600
0.600000 , 0.879469 , 0.075200
0.610000 , 0.907531 , 0.073600
0.620000 , 0.918654 , 0.069600
0.630000 , 0.933336 , 0.074400
0.640000 , 0.930944 , 0.068800
0.650000 , 0.945071 , 0.069600
0.660000 , 0.955303 , 0.070400
0.670000 , 0.961216 , 0.066400
0.680000 , 0.965893 , 0.068800
0.690000 , 0.976360 , 0.069600
0.700000 , 0.978716 , 0.068800
0.710000 , 0.976916 , 0.069600
0.720000 , 0.981735 , 0.067200
0.730000 , 0.984068 , 0.065600
0.740000 , 0.983073 , 0.066400
0.750000 , 0.990681 , 0.065600
0.760000 , 0.992393 , 0.065600
0.770000 , 0.993242 , 0.065600
0.780000 , 0.989990 , 0.067200
0.790000 , 0.996223 , 0.065600
0.800000 , 0.993551 , 0.066400
0.810000 , 0.997203 , 0.065600
0.820000 , 0.997623 , 0.065600
0.830000 , 0.998694 , 0.065600
0.840000 , 0.997401 , 0.065600
0.850000 , 0.997627 , 0.065600
0.860000 , 0.997800 , 0.065600
0.870000 , 0.999559 , 0.065600
0.880000 , 0.999661 , 0.065600
0.890000 , 0.998960 , 0.065600
0.900000 , 0.999822 , 0.065600
0.910000 , 0.999887 , 0.065600
0.920000 , 0.999923 , 0.065600
0.930000 , 0.999954 , 0.065600
0.940000 , 0.999974 , 0.065600
0.950000 , 0.999986 , 0.065600
0.960000 , 0.999991 , 0.065600
0.970000 , 0.999997 , 0.065600
0.980000 , 0.999999 , 0.065600
0.990000 , 1.000000 , 0.065600
1.000000 , 1.000000 , 0.065600
Time: 247.640483 seconds
