Probability of fire spreading, Average percent burned, number of iterations
0.000000 , 0.000000 , 0.102400
0.010000 , 0.000007 , 0.102400
0.020000 , 0.000014 , 0.102400
0.030000 , 0.000020 , 0.108800
0.040000 , 0.000028 , 0.105800
0.050000 , 0.000038 , 0.130600
0.060000 , 0.000041 , 0.105600
0.070000 , 0.000045 , 0.105600
0.080000 , 0.000072 , 0.124800
0.090000 , 0.000062 , 0.112200
0.100000 , 0.000077 , 0.131000
0.110000 , 0.000093 , 0.118400
0.120000 , 0.000116 , 0.128400
0.130000 , 0.000141 , 0.144200
0.140000 , 0.000132 , 0.178800
0.150000 , 0.000136 , 0.150800
0.160000 , 0.000157 , 0.131400
0.170000 , 0.000201 , 0.144600
0.180000 , 0.000209 , 0.172600
0.190000 , 0.000212 , 0.150000
0.200000 , 0.000298 , 0.153800
0.210000 , 0.000299 , 0.150400
0.220000 , 0.000290 , 0.169600
0.230000 , 0.000528 , 0.222200
0.240000 , 0.000469 , 0.204200
0.250000 , 0.000487 , 0.231400
0.260000 , 0.000620 , 0.242600
0.270000 , 0.000667 , 0.213200
0.280000 , 0.000651 , 0.222600
0.290000 , 0.000859 , 0.230800
0.300000 , 0.000928 , 0.301000
0.310000 , 0.000911 , 0.237200
0.320000 , 0.001369 , 0.278200
0.330000 , 0.001363 , 0.310400
0.340000 , 0.001791 , 0.320200
0.350000 , 0.001896 , 0.408200
0.360000 , 0.002286 , 0.452400
0.370000 , 0.002285 , 0.410000
0.380000 , 0.003123 , 0.309800
0.390000 , 0.003452 , 0.577000
0.400000 , 0.004680 , 0.585400
0.410000 , 0.005861 , 0.823800
0.420000 , 0.008102 , 0.732600
0.430000 , 0.011028 , 1.250800
0.440000 , 0.014497 , 1.086600
0.450000 , 0.021861 , 1.735000
0.460000 , 0.037364 , 1.913400
0.470000 , 0.058850 , 1.360400
0.480000 , 0.102845 , 4.614000
0.490000 , 0.161669 , 4.751000
0.500000 , 0.238805 , 3.122600
0.510000 , 0.410079 , 5.538400
0.520000 , 0.522564 , 6.766600
0.530000 , 0.621047 , 7.397800
0.540000 , 0.697517 , 7.449000
0.550000 , 0.725671 , 6.080000
0.560000 , 0.778506 , 5.323600
0.570000 , 0.789229 , 5.008800
0.580000 , 0.820215 , 5.029000
0.590000 , 0.833053 , 4.421400
0.600000 , 0.857002 , 4.956800
0.610000 , 0.880344 , 4.523600
0.620000 , 0.885021 , 3.874400
0.630000 , 0.895938 , 4.045200
0.640000 , 0.904739 , 4.273400
0.650000 , 0.916014 , 4.422400
0.660000 , 0.934834 , 4.477000
0.670000 , 0.922910 , 4.390000
0.680000 , 0.944442 , 4.450000
0.690000 , 0.944143 , 4.103600
0.700000 , 0.949614 , 4.334800
0.710000 , 0.948125 , 4.288600
0.720000 , 0.953395 , 4.271600
0.730000 , 0.945112 , 4.354000
0.740000 , 0.965546 , 4.265600
0.750000 , 0.963643 , 4.246400
0.760000 , 0.961452 , 4.271600
0.770000 , 0.962166 , 4.233800
0.780000 , 0.962877 , 4.230400
0.790000 , 0.966689 , 4.232800
0.800000 , 0.964063 , 4.211400
0.810000 , 0.967680 , 4.208000
0.820000 , 0.971282 , 4.208000
0.830000 , 0.968409 , 4.229800
0.840000 , 0.971836 , 4.207800
0.850000 , 0.972027 , 4.208000
0.860000 , 0.965834 , 4.205000
0.870000 , 0.972352 , 4.217600
0.880000 , 0.972469 , 4.198400
0.890000 , 0.972555 , 4.208000
0.900000 , 0.972638 , 4.198400
0.910000 , 0.972680 , 4.208000
0.920000 , 0.972731 , 4.198400
0.930000 , 0.972756 , 4.198400
0.940000 , 0.972776 , 4.201600
0.950000 , 0.972787 , 4.198400
0.960000 , 0.972789 , 4.198400
0.970000 , 0.972797 , 4.198400
0.980000 , 0.972798 , 4.198400
0.990000 , 0.972800 , 4.198400
1.000000 , 0.972800 , 4.198400
Time: 3.858561 seconds
