Probability of fire spreading, Average percent burned, number of iterations
0.000000 , 0.000000 , 0.003200
0.010000 , 0.000008 , 0.004600
0.020000 , 0.000014 , 0.003200
0.030000 , 0.000020 , 0.003200
0.040000 , 0.000028 , 0.003400
0.050000 , 0.000036 , 0.003200
0.060000 , 0.000051 , 0.003200
0.070000 , 0.000053 , 0.004600
0.080000 , 0.000073 , 0.003200
0.090000 , 0.000078 , 0.003200
0.100000 , 0.000085 , 0.003200
0.110000 , 0.000104 , 0.007400
0.120000 , 0.000106 , 0.008800
0.130000 , 0.000134 , 0.003200
0.140000 , 0.000132 , 0.003200
0.150000 , 0.000171 , 0.003800
0.160000 , 0.000195 , 0.005000
0.170000 , 0.000205 , 0.003400
0.180000 , 0.000243 , 0.003200
0.190000 , 0.000235 , 0.003600
0.200000 , 0.000283 , 0.007800
0.210000 , 0.000312 , 0.003200
0.220000 , 0.000353 , 0.003600
0.230000 , 0.000390 , 0.003600
0.240000 , 0.000483 , 0.007400
0.250000 , 0.000557 , 0.004800
0.260000 , 0.000544 , 0.008800
0.270000 , 0.000596 , 0.006400
0.280000 , 0.000722 , 0.006200
0.290000 , 0.000809 , 0.003400
0.300000 , 0.000870 , 0.004800
0.310000 , 0.000954 , 0.017600
0.320000 , 0.001082 , 0.008000
0.330000 , 0.001440 , 0.015000
0.340000 , 0.001612 , 0.006200
0.350000 , 0.001743 , 0.014600
0.360000 , 0.002222 , 0.004200
0.370000 , 0.002647 , 0.006600
0.380000 , 0.003230 , 0.021200
0.390000 , 0.003967 , 0.022600
0.400000 , 0.005204 , 0.011600
0.410000 , 0.006201 , 0.007600
0.420000 , 0.009300 , 0.013600
0.430000 , 0.011762 , 0.014400
0.440000 , 0.016811 , 0.078000
0.450000 , 0.026880 , 0.033200
0.460000 , 0.035774 , 0.117800
0.470000 , 0.057196 , 0.046600
0.480000 , 0.111169 , 0.200600
0.490000 , 0.178854 , 0.025600
0.500000 , 0.275048 , 0.036400
0.510000 , 0.400309 , 0.189600
0.520000 , 0.516825 , 0.264800
0.530000 , 0.620311 , 0.270400
0.540000 , 0.715206 , 0.159400
0.550000 , 0.741805 , 0.194600
0.560000 , 0.801894 , 0.028000
0.570000 , 0.825988 , 0.200600
0.580000 , 0.845651 , 0.160200
0.590000 , 0.868612 , 0.177600
0.600000 , 0.884759 , 0.142400
0.610000 , 0.912767 , 0.023200
0.620000 , 0.923435 , 0.151000
0.630000 , 0.921454 , 0.152800
0.640000 , 0.947290 , 0.151200
0.650000 , 0.944394 , 0.140000
0.660000 , 0.955954 , 0.139800
0.670000 , 0.956779 , 0.136000
0.680000 , 0.968673 , 0.137800
0.690000 , 0.969818 , 0.131600
0.700000 , 0.979089 , 0.134400
0.710000 , 0.981280 , 0.131600
0.720000 , 0.968754 , 0.131600
0.730000 , 0.988067 , 0.133400
0.740000 , 0.986978 , 0.131400
0.750000 , 0.993795 , 0.134000
0.760000 , 0.989918 , 0.133000
0.770000 , 0.994827 , 0.131200
0.780000 , 0.992827 , 0.131200
0.790000 , 0.993831 , 0.131600
0.800000 , 0.997151 , 0.131200
0.810000 , 0.996639 , 0.131200
0.820000 , 0.996969 , 0.131400
0.830000 , 0.998729 , 0.131600
0.840000 , 0.996989 , 0.131600
0.850000 , 0.999002 , 0.134000
0.860000 , 0.999392 , 0.131200
0.870000 , 0.998175 , 0.131200
0.880000 , 0.999470 , 0.131200
0.890000 , 0.999760 , 0.131200
0.900000 , 0.999841 , 0.131200
0.910000 , 0.999882 , 0.131200
0.920000 , 0.999923 , 0.131200
0.930000 , 0.999955 , 0.131200
0.940000 , 0.999973 , 0.131200
0.950000 , 0.999986 , 0.131200
0.960000 , 0.999995 , 0.131200
0.970000 , 0.999998 , 0.131200
0.980000 , 0.999999 , 0.131200
0.990000 , 1.000000 , 0.131200
1.000000 , 1.000000 , 0.131200
Time: 124.195372 seconds
