Probability of fire spreading, Average percent burned, number of iterations
0.000000 , 0.000000 , 0.000800
0.010000 , 0.000007 , 0.000800
0.020000 , 0.000014 , 0.000800
0.030000 , 0.000021 , 0.000800
0.040000 , 0.000028 , 0.000800
0.050000 , 0.000038 , 0.000800
0.060000 , 0.000043 , 0.000800
0.070000 , 0.000055 , 0.000800
0.080000 , 0.000068 , 0.000800
0.090000 , 0.000071 , 0.000800
0.100000 , 0.000093 , 0.001200
0.110000 , 0.000104 , 0.001200
0.120000 , 0.000114 , 0.000800
0.130000 , 0.000128 , 0.000800
0.140000 , 0.000150 , 0.001200
0.150000 , 0.000159 , 0.000800
0.160000 , 0.000188 , 0.000800
0.170000 , 0.000203 , 0.000800
0.180000 , 0.000241 , 0.000800
0.190000 , 0.000272 , 0.000800
0.200000 , 0.000294 , 0.001600
0.210000 , 0.000322 , 0.001200
0.220000 , 0.000363 , 0.000800
0.230000 , 0.000381 , 0.002400
0.240000 , 0.000456 , 0.001600
0.250000 , 0.000506 , 0.001200
0.260000 , 0.000547 , 0.001200
0.270000 , 0.000646 , 0.001600
0.280000 , 0.000721 , 0.003600
0.290000 , 0.000813 , 0.002400
0.300000 , 0.000925 , 0.001200
0.310000 , 0.001044 , 0.001600
0.320000 , 0.001211 , 0.007200
0.330000 , 0.001421 , 0.002000
0.340000 , 0.001582 , 0.000800
0.350000 , 0.001865 , 0.002400
0.360000 , 0.002139 , 0.006400
0.370000 , 0.002669 , 0.001600
0.380000 , 0.003288 , 0.005200
0.390000 , 0.003938 , 0.001200
0.400000 , 0.004954 , 0.009200
0.410000 , 0.006339 , 0.008000
0.420000 , 0.008124 , 0.004000
0.430000 , 0.011534 , 0.007200
0.440000 , 0.016046 , 0.006800
0.450000 , 0.023140 , 0.008000
0.460000 , 0.038431 , 0.016000
0.470000 , 0.062862 , 0.001600
0.480000 , 0.105794 , 0.008800
0.490000 , 0.175030 , 0.037600
0.500000 , 0.276493 , 0.004000
0.510000 , 0.394408 , 0.054800
0.520000 , 0.524871 , 0.066000
0.530000 , 0.640972 , 0.047600
0.540000 , 0.703609 , 0.041200
0.550000 , 0.760917 , 0.050400
0.560000 , 0.784418 , 0.054000
0.570000 , 0.826615 , 0.052000
0.580000 , 0.848826 , 0.039200
0.590000 , 0.866620 , 0.001200
0.600000 , 0.888161 , 0.039200
0.610000 , 0.902068 , 0.038000
0.620000 , 0.915702 , 0.033600
0.630000 , 0.928347 , 0.037200
0.640000 , 0.937540 , 0.035600
0.650000 , 0.945748 , 0.034000
0.660000 , 0.950752 , 0.036000
0.670000 , 0.959377 , 0.033600
0.680000 , 0.969411 , 0.035200
0.690000 , 0.968160 , 0.032800
0.700000 , 0.972016 , 0.033200
0.710000 , 0.979990 , 0.034400
0.720000 , 0.980974 , 0.035200
0.730000 , 0.984515 , 0.032800
0.740000 , 0.987782 , 0.033600
0.750000 , 0.987356 , 0.032800
0.760000 , 0.990392 , 0.033200
0.770000 , 0.992063 , 0.032800
0.780000 , 0.994317 , 0.032800
0.790000 , 0.995807 , 0.032800
0.800000 , 0.993929 , 0.032800
0.810000 , 0.996008 , 0.032800
0.820000 , 0.997198 , 0.033600
0.830000 , 0.997142 , 0.032800
0.840000 , 0.997405 , 0.032800
0.850000 , 0.999233 , 0.032800
0.860000 , 0.998997 , 0.032800
0.870000 , 0.998749 , 0.032800
0.880000 , 0.999271 , 0.032800
0.890000 , 0.999761 , 0.032800
0.900000 , 0.999832 , 0.032800
0.910000 , 0.999883 , 0.032800
0.920000 , 0.999928 , 0.032800
0.930000 , 0.999951 , 0.032800
0.940000 , 0.999972 , 0.032800
0.950000 , 0.999987 , 0.032800
0.960000 , 0.999993 , 0.032800
0.970000 , 0.999997 , 0.032800
0.980000 , 0.999999 , 0.032800
0.990000 , 1.000000 , 0.032800
1.000000 , 1.000000 , 0.032800
Time: 496.118519 seconds
