Probability of fire spreading, Average percent burned, number of iterations
0.000000 , 0.000000 , 0.051200
0.010000 , 0.000004 , 0.057600
0.020000 , 0.000016 , 0.051200
0.030000 , 0.000023 , 0.051200
0.040000 , 0.000031 , 0.051200
0.050000 , 0.000038 , 0.060800
0.060000 , 0.000039 , 0.054400
0.070000 , 0.000055 , 0.060800
0.080000 , 0.000071 , 0.054400
0.090000 , 0.000077 , 0.057600
0.100000 , 0.000082 , 0.060800
0.110000 , 0.000120 , 0.070400
0.120000 , 0.000121 , 0.070400
0.130000 , 0.000128 , 0.070400
0.140000 , 0.000152 , 0.076800
0.150000 , 0.000177 , 0.060800
0.160000 , 0.000227 , 0.080000
0.170000 , 0.000195 , 0.064000
0.180000 , 0.000225 , 0.076800
0.190000 , 0.000258 , 0.070400
0.200000 , 0.000243 , 0.073600
0.210000 , 0.000344 , 0.080000
0.220000 , 0.000372 , 0.108800
0.230000 , 0.000414 , 0.137600
0.240000 , 0.000366 , 0.080000
0.250000 , 0.000505 , 0.086400
0.260000 , 0.000492 , 0.105600
0.270000 , 0.000600 , 0.118400
0.280000 , 0.000772 , 0.121600
0.290000 , 0.000811 , 0.182400
0.300000 , 0.000852 , 0.153600
0.310000 , 0.001031 , 0.105600
0.320000 , 0.001242 , 0.105600
0.330000 , 0.001438 , 0.131200
0.340000 , 0.001581 , 0.214400
0.350000 , 0.001782 , 0.208000
0.360000 , 0.002381 , 0.163200
0.370000 , 0.002931 , 0.278400
0.380000 , 0.002790 , 0.137600
0.390000 , 0.004110 , 0.284800
0.400000 , 0.004836 , 0.214400
0.410000 , 0.006057 , 0.368000
0.420000 , 0.007400 , 0.489600
0.430000 , 0.009585 , 0.336000
0.440000 , 0.015312 , 0.387200
0.450000 , 0.023689 , 0.921600
0.460000 , 0.040921 , 0.684800
0.470000 , 0.067682 , 0.870400
0.480000 , 0.091598 , 2.444800
0.490000 , 0.157786 , 1.328000
0.500000 , 0.268406 , 1.596800
0.510000 , 0.410249 , 3.411200
0.520000 , 0.507712 , 2.329600
0.530000 , 0.593340 , 2.992000
0.540000 , 0.699149 , 3.225600
0.550000 , 0.734144 , 3.334400
0.560000 , 0.782068 , 2.163200
0.570000 , 0.806750 , 2.454400
0.580000 , 0.840988 , 2.323200
0.590000 , 0.847113 , 1.820800
0.600000 , 0.898354 , 2.464000
0.610000 , 0.895257 , 2.464000
0.620000 , 0.920249 , 2.419200
0.630000 , 0.926731 , 2.326400
0.640000 , 0.938991 , 2.275200
0.650000 , 0.955865 , 2.310400
0.660000 , 0.959654 , 2.224000
0.670000 , 0.948319 , 2.179200
0.680000 , 0.966631 , 2.198400
0.690000 , 0.956721 , 2.185600
0.700000 , 0.965321 , 2.150400
0.710000 , 0.973630 , 2.160000
0.720000 , 0.978644 , 2.137600
0.730000 , 0.989519 , 2.172800
0.740000 , 0.990971 , 2.118400
0.750000 , 0.982573 , 2.118400
0.760000 , 0.986868 , 1.849600
0.770000 , 0.987652 , 2.118400
0.780000 , 0.994663 , 2.108800
0.790000 , 0.992265 , 2.112000
0.800000 , 0.995944 , 2.121600
0.810000 , 0.996443 , 2.102400
0.820000 , 0.996824 , 2.124800
0.830000 , 0.997126 , 2.108800
0.840000 , 0.997390 , 2.144000
0.850000 , 0.997634 , 2.092800
0.860000 , 0.994614 , 2.105600
0.870000 , 0.997928 , 2.105600
0.880000 , 0.998066 , 2.102400
0.890000 , 0.998161 , 2.096000
0.900000 , 0.998225 , 2.099200
0.910000 , 0.998297 , 2.102400
0.920000 , 0.998322 , 2.099200
0.930000 , 0.998349 , 2.099200
0.940000 , 0.998371 , 2.099200
0.950000 , 0.998387 , 2.102400
0.960000 , 0.998395 , 2.099200
0.970000 , 0.998396 , 2.099200
0.980000 , 0.998399 , 2.099200
0.990000 , 0.998400 , 2.099200
1.000000 , 0.998400 , 2.099200
Time: 7.839697 seconds
