Probability of fire spreading, Average percent burned, number of iterations
0.000000 , 0.000000 , 0.006400
0.010000 , 0.000008 , 0.006400
0.020000 , 0.000014 , 0.006400
0.030000 , 0.000014 , 0.006400
0.040000 , 0.000026 , 0.006400
0.050000 , 0.000045 , 0.006400
0.060000 , 0.000039 , 0.009600
0.070000 , 0.000054 , 0.006400
0.080000 , 0.000061 , 0.006400
0.090000 , 0.000072 , 0.006400
0.100000 , 0.000105 , 0.006400
0.110000 , 0.000106 , 0.006400
0.120000 , 0.000115 , 0.006400
0.130000 , 0.000115 , 0.009600
0.140000 , 0.000151 , 0.006400
0.150000 , 0.000172 , 0.006400
0.160000 , 0.000169 , 0.022400
0.170000 , 0.000210 , 0.009600
0.180000 , 0.000221 , 0.006400
0.190000 , 0.000258 , 0.025600
0.200000 , 0.000300 , 0.009600
0.210000 , 0.000323 , 0.006400
0.220000 , 0.000386 , 0.012800
0.230000 , 0.000388 , 0.006400
0.240000 , 0.000509 , 0.006400
0.250000 , 0.000455 , 0.032000
0.260000 , 0.000539 , 0.025600
0.270000 , 0.000609 , 0.019200
0.280000 , 0.000707 , 0.012800
0.290000 , 0.000828 , 0.006400
0.300000 , 0.001054 , 0.019200
0.310000 , 0.001245 , 0.012800
0.320000 , 0.001283 , 0.006400
0.330000 , 0.001302 , 0.012800
0.340000 , 0.001478 , 0.012800
0.350000 , 0.002178 , 0.019200
0.360000 , 0.001955 , 0.038400
0.370000 , 0.002427 , 0.016000
0.380000 , 0.003241 , 0.006400
0.390000 , 0.003749 , 0.070400
0.400000 , 0.005071 , 0.019200
0.410000 , 0.006326 , 0.105600
0.420000 , 0.007251 , 0.012800
0.430000 , 0.012019 , 0.012800
0.440000 , 0.017143 , 0.124800
0.450000 , 0.026656 , 0.028800
0.460000 , 0.036803 , 0.044800
0.470000 , 0.067811 , 0.022400
0.480000 , 0.119778 , 0.320000
0.490000 , 0.176699 , 0.512000
0.500000 , 0.285601 , 0.006400
0.510000 , 0.376739 , 0.572800
0.520000 , 0.540702 , 0.489600
0.530000 , 0.616418 , 0.473600
0.540000 , 0.693497 , 0.451200
0.550000 , 0.747890 , 0.348800
0.560000 , 0.800740 , 0.371200
0.570000 , 0.800584 , 0.326400
0.580000 , 0.831897 , 0.339200
0.590000 , 0.873143 , 0.291200
0.600000 , 0.872268 , 0.294400
0.610000 , 0.891975 , 0.332800
0.620000 , 0.924230 , 0.019200
0.630000 , 0.915092 , 0.284800
0.640000 , 0.938519 , 0.268800
0.650000 , 0.943744 , 0.278400
0.660000 , 0.963135 , 0.281600
0.670000 , 0.966992 , 0.272000
0.680000 , 0.963433 , 0.268800
0.690000 , 0.978825 , 0.275200
0.700000 , 0.974831 , 0.272000
0.710000 , 0.979954 , 0.265600
0.720000 , 0.981827 , 0.265600
0.730000 , 0.986509 , 0.272000
0.740000 , 0.981474 , 0.268800
0.750000 , 0.989003 , 0.262400
0.760000 , 0.993206 , 0.262400
0.770000 , 0.993953 , 0.268800
0.780000 , 0.985244 , 0.265600
0.790000 , 0.989053 , 0.272000
0.800000 , 0.995887 , 0.262400
0.810000 , 0.996411 , 0.262400
0.820000 , 0.996797 , 0.259200
0.830000 , 0.997117 , 0.265600
0.840000 , 0.997437 , 0.265600
0.850000 , 0.994389 , 0.262400
0.860000 , 0.997792 , 0.262400
0.870000 , 0.997946 , 0.268800
0.880000 , 0.998077 , 0.262400
0.890000 , 0.998175 , 0.262400
0.900000 , 0.998225 , 0.262400
0.910000 , 0.998298 , 0.262400
0.920000 , 0.998322 , 0.262400
0.930000 , 0.998358 , 0.262400
0.940000 , 0.998376 , 0.262400
0.950000 , 0.998383 , 0.262400
0.960000 , 0.998392 , 0.262400
0.970000 , 0.998397 , 0.262400
0.980000 , 0.998400 , 0.262400
0.990000 , 0.998400 , 0.262400
1.000000 , 0.998400 , 0.262400
Time: 63.559294 seconds
